year,Gale (F),Gale (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000024
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000015,0.000034
1894,0.000000,0.000035
1895,0.000000,0.000017
1896,0.000014,0.000000
1897,0.000017,0.000037
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000022,0.000022
1901,0.000000,0.000032
1902,0.000000,0.000023
1903,0.000000,0.000031
1904,0.000000,0.000015
1905,0.000017,0.000026
1906,0.000000,0.000000
1907,0.000000,0.000032
1908,0.000018,0.000039
1909,0.000016,0.000043
1910,0.000012,0.000020
1911,0.000017,0.000034
1912,0.000009,0.000043
1913,0.000007,0.000052
1914,0.000012,0.000063
1915,0.000013,0.000057
1916,0.000014,0.000059
1917,0.000010,0.000061
1918,0.000010,0.000071
1919,0.000012,0.000069
1920,0.000015,0.000078
1921,0.000018,0.000088
1922,0.000011,0.000079
1923,0.000014,0.000101
1924,0.000011,0.000102
1925,0.000012,0.000081
1926,0.000017,0.000084
1927,0.000016,0.000103
1928,0.000016,0.000080
1929,0.000013,0.000077
1930,0.000013,0.000090
1931,0.000010,0.000080
1932,0.000020,0.000106
1933,0.000020,0.000107
1934,0.000038,0.000126
1935,0.000058,0.000117
1936,0.000059,0.000120
1937,0.000069,0.000133
1938,0.000069,0.000132
1939,0.000131,0.000132
1940,0.000169,0.000133
1941,0.000139,0.000118
1942,0.000134,0.000109
1943,0.000151,0.000107
1944,0.000142,0.000105
1945,0.000169,0.000109
1946,0.000177,0.000095
1947,0.000220,0.000105
1948,0.000174,0.000101
1949,0.000169,0.000090
1950,0.000189,0.000095
1951,0.000221,0.000089
1952,0.000216,0.000085
1953,0.000246,0.000069
1954,0.000256,0.000064
1955,0.000257,0.000049
1956,0.000262,0.000047
1957,0.000288,0.000037
1958,0.000254,0.000032
1959,0.000205,0.000027
1960,0.000141,0.000031
1961,0.000115,0.000024
1962,0.000082,0.000023
1963,0.000082,0.000023
1964,0.000075,0.000023
1965,0.000065,0.000022
1966,0.000067,0.000019
1967,0.000061,0.000019
1968,0.000047,0.000016
1969,0.000045,0.000020
1970,0.000035,0.000015
1971,0.000028,0.000018
1972,0.000031,0.000012
1973,0.000024,0.000016
1974,0.000021,0.000016
1975,0.000019,0.000010
1976,0.000014,0.000008
1977,0.000011,0.000006
1978,0.000010,0.000006
1979,0.000008,0.000006
1980,0.000009,0.000006
1981,0.000005,0.000008
1982,0.000010,0.000004
1983,0.000007,0.000003
1984,0.000003,0.000004
1985,0.000006,0.000003
1986,0.000005,0.000002
1987,0.000004,0.000002
1988,0.000002,0.000002
1989,0.000002,0.000003
1990,0.000003,0.000002
1991,0.000002,0.000003
1992,0.000002,0.000002
1993,0.000000,0.000003
1994,0.000001,0.000003
1995,0.000002,0.000000
1996,0.000001,0.000002
1997,0.000000,0.000002
1998,0.000002,0.000000
1999,0.000002,0.000000
2000,0.000001,0.000002
2001,0.000000,0.000000
2002,0.000000,0.000001
2003,0.000000,0.000002
2004,0.000000,0.000000
2005,0.000002,0.000001
2006,0.000000,0.000000
2007,0.000000,0.000002
2008,0.000000,0.000001
2009,0.000000,0.000000
2010,0.000000,0.000000
2011,0.000002,0.000000
2012,0.000000,0.000000
2013,0.000002,0.000002
