year,Gitty
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,8
1952,9
1953,10
1954,5
1955,5
1956,8
1957,10
1958,8
1959,8
1960,0
1961,8
1962,0
1963,0
1964,0
1965,0
1966,0
1967,7
1968,0
1969,0
1970,13
1971,8
1972,5
1973,8
1974,14
1975,14
1976,16
1977,18
1978,16
1979,15
1980,31
1981,24
1982,19
1983,25
1984,16
1985,24
1986,19
1987,28
1988,27
1989,23
1990,26
1991,25
1992,33
1993,37
1994,38
1995,46
1996,44
1997,43
1998,39
1999,46
2000,53
2001,54
2002,84
2003,65
2004,84
2005,63
2006,88
2007,89
2008,66
2009,80
2010,115
2011,123
2012,107
