year,Georgena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,5
1898,0
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,8
1909,0
1910,5
1911,6
1912,5
1913,0
1914,12
1915,9
1916,9
1917,14
1918,13
1919,22
1920,16
1921,13
1922,18
1923,11
1924,15
1925,24
1926,9
1927,13
1928,15
1929,9
1930,9
1931,16
1932,10
1933,12
1934,11
1935,18
1936,11
1937,11
1938,6
1939,12
1940,10
1941,8
1942,18
1943,19
1944,15
1945,11
1946,13
1947,14
1948,14
1949,17
1950,21
1951,15
1952,12
1953,9
1954,13
1955,13
1956,14
1957,8
1958,8
1959,10
1960,12
1961,10
1962,10
1963,9
1964,13
1965,7
1966,12
1967,8
1968,13
1969,7
1970,5
1971,6
1972,10
1973,11
1974,13
1975,7
1976,0
1977,8
1978,8
1979,0
1980,5
1981,0
1982,9
1983,9
1984,0
1985,7
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,5
2011,0
2012,0
