year,Garnett (F),Garnett (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000054
1883,0.000000,0.000000
1884,0.000000,0.000021
1885,0.000000,0.000025
1886,0.000000,0.000027
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000042,0.000017
1890,0.000036,0.000023
1891,0.000031,0.000028
1892,0.000033,0.000024
1893,0.000031,0.000022
1894,0.000041,0.000021
1895,0.000037,0.000023
1896,0.000028,0.000025
1897,0.000035,0.000023
1898,0.000060,0.000024
1899,0.000044,0.000027
1900,0.000047,0.000022
1901,0.000049,0.000014
1902,0.000059,0.000013
1903,0.000050,0.000045
1904,0.000072,0.000025
1905,0.000057,0.000031
1906,0.000044,0.000028
1907,0.000058,0.000039
1908,0.000041,0.000025
1909,0.000039,0.000051
1910,0.000064,0.000025
1911,0.000059,0.000029
1912,0.000051,0.000037
1913,0.000041,0.000031
1914,0.000040,0.000052
1915,0.000050,0.000040
1916,0.000043,0.000035
1917,0.000033,0.000035
1918,0.000041,0.000035
1919,0.000033,0.000036
1920,0.000044,0.000038
1921,0.000035,0.000033
1922,0.000038,0.000036
1923,0.000036,0.000036
1924,0.000026,0.000028
1925,0.000033,0.000034
1926,0.000027,0.000031
1927,0.000028,0.000031
1928,0.000029,0.000025
1929,0.000030,0.000025
1930,0.000024,0.000027
1931,0.000019,0.000025
1932,0.000021,0.000031
1933,0.000021,0.000030
1934,0.000021,0.000020
1935,0.000018,0.000034
1936,0.000014,0.000028
1937,0.000023,0.000019
1938,0.000016,0.000025
1939,0.000015,0.000023
1940,0.000016,0.000024
1941,0.000015,0.000019
1942,0.000013,0.000018
1943,0.000012,0.000018
1944,0.000013,0.000019
1945,0.000011,0.000013
1946,0.000007,0.000016
1947,0.000006,0.000017
1948,0.000010,0.000016
1949,0.000008,0.000014
1950,0.000006,0.000015
1951,0.000008,0.000013
1952,0.000006,0.000012
1953,0.000004,0.000011
1954,0.000007,0.000010
1955,0.000004,0.000011
1956,0.000003,0.000009
1957,0.000003,0.000009
1958,0.000003,0.000010
1959,0.000001,0.000008
1960,0.000002,0.000006
1961,0.000004,0.000007
1962,0.000002,0.000007
1963,0.000003,0.000008
1964,0.000003,0.000011
1965,0.000002,0.000008
1966,0.000002,0.000007
1967,0.000003,0.000009
1968,0.000002,0.000006
1969,0.000003,0.000006
1970,0.000002,0.000007
1971,0.000002,0.000009
1972,0.000002,0.000010
1973,0.000002,0.000006
1974,0.000002,0.000005
1975,0.000002,0.000005
1976,0.000000,0.000007
1977,0.000000,0.000004
1978,0.000000,0.000006
1979,0.000002,0.000005
1980,0.000001,0.000005
1981,0.000000,0.000005
1982,0.000000,0.000003
1983,0.000000,0.000000
1984,0.000000,0.000004
1985,0.000000,0.000005
1986,0.000000,0.000004
1987,0.000000,0.000003
1988,0.000000,0.000005
1989,0.000000,0.000003
1990,0.000000,0.000001
1991,0.000001,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000003
1994,0.000000,0.000003
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000002
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000003
2001,0.000000,0.000003
2002,0.000000,0.000002
2003,0.000000,0.000002
2004,0.000000,0.000003
2005,0.000000,0.000003
2006,0.000000,0.000002
2007,0.000000,0.000000
2008,0.000000,0.000003
2009,0.000000,0.000002
2010,0.000000,0.000002
2011,0.000000,0.000001
2012,0.000000,0.000000
2013,0.000000,0.000002
