year,Gaston (F),Gaston (M)
1880,0.000000,0.000000
1881,0.000000,0.000042
1882,0.000000,0.000045
1883,0.000000,0.000032
1884,0.000000,0.000029
1885,0.000000,0.000033
1886,0.000000,0.000023
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000021
1892,0.000000,0.000024
1893,0.000000,0.000018
1894,0.000000,0.000021
1895,0.000000,0.000034
1896,0.000000,0.000028
1897,0.000000,0.000029
1898,0.000000,0.000021
1899,0.000000,0.000032
1900,0.000000,0.000036
1901,0.000000,0.000023
1902,0.000000,0.000023
1903,0.000000,0.000045
1904,0.000000,0.000035
1905,0.000000,0.000028
1906,0.000000,0.000028
1907,0.000000,0.000028
1908,0.000000,0.000018
1909,0.000000,0.000031
1910,0.000000,0.000039
1911,0.000000,0.000037
1912,0.000000,0.000032
1913,0.000000,0.000029
1914,0.000000,0.000023
1915,0.000000,0.000027
1916,0.000000,0.000025
1917,0.000000,0.000025
1918,0.000000,0.000038
1919,0.000000,0.000027
1920,0.000000,0.000027
1921,0.000000,0.000030
1922,0.000000,0.000034
1923,0.000000,0.000026
1924,0.000000,0.000029
1925,0.000000,0.000022
1926,0.000000,0.000021
1927,0.000000,0.000027
1928,0.000000,0.000027
1929,0.000000,0.000028
1930,0.000000,0.000021
1931,0.000000,0.000026
1932,0.000000,0.000017
1933,0.000000,0.000017
1934,0.000000,0.000020
1935,0.000000,0.000022
1936,0.000000,0.000019
1937,0.000000,0.000010
1938,0.000000,0.000012
1939,0.000000,0.000012
1940,0.000000,0.000015
1941,0.000000,0.000012
1942,0.000000,0.000010
1943,0.000000,0.000009
1944,0.000000,0.000013
1945,0.000000,0.000011
1946,0.000000,0.000008
1947,0.000000,0.000013
1948,0.000000,0.000011
1949,0.000000,0.000008
1950,0.000000,0.000007
1951,0.000000,0.000007
1952,0.000000,0.000006
1953,0.000000,0.000009
1954,0.000000,0.000008
1955,0.000000,0.000007
1956,0.000000,0.000006
1957,0.000000,0.000007
1958,0.000000,0.000005
1959,0.000000,0.000006
1960,0.000000,0.000006
1961,0.000000,0.000007
1962,0.000000,0.000006
1963,0.000000,0.000006
1964,0.000000,0.000004
1965,0.000000,0.000009
1966,0.000000,0.000004
1967,0.000000,0.000006
1968,0.000000,0.000008
1969,0.000000,0.000007
1970,0.000000,0.000006
1971,0.000000,0.000006
1972,0.000000,0.000010
1973,0.000000,0.000008
1974,0.000000,0.000008
1975,0.000000,0.000010
1976,0.000000,0.000008
1977,0.000000,0.000008
1978,0.000000,0.000007
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000000,0.000006
1982,0.000000,0.000005
1983,0.000000,0.000007
1984,0.000000,0.000007
1985,0.000000,0.000008
1986,0.000000,0.000010
1987,0.000000,0.000015
1988,0.000000,0.000010
1989,0.000000,0.000009
1990,0.000000,0.000016
1991,0.000000,0.000011
1992,0.000000,0.000011
1993,0.000000,0.000015
1994,0.000000,0.000008
1995,0.000000,0.000011
1996,0.000000,0.000009
1997,0.000000,0.000009
1998,0.000000,0.000008
1999,0.000000,0.000009
2000,0.000000,0.000007
2001,0.000000,0.000006
2002,0.000000,0.000007
2003,0.000000,0.000010
2004,0.000000,0.000008
2005,0.000000,0.000008
2006,0.000000,0.000007
2007,0.000000,0.000005
2008,0.000000,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000004
2011,0.000000,0.000007
2012,0.000000,0.000007
2013,0.000000,0.000006
