year,Gaylene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,12
1933,14
1934,29
1935,16
1936,31
1937,24
1938,42
1939,33
1940,34
1941,36
1942,39
1943,58
1944,37
1945,44
1946,47
1947,70
1948,64
1949,67
1950,73
1951,80
1952,84
1953,88
1954,73
1955,82
1956,118
1957,104
1958,93
1959,100
1960,94
1961,94
1962,93
1963,80
1964,66
1965,71
1966,65
1967,60
1968,53
1969,40
1970,44
1971,37
1972,35
1973,20
1974,16
1975,17
1976,14
1977,12
1978,8
1979,12
1980,5
1981,5
1982,6
1983,7
1984,7
1985,0
1986,0
1987,0
1988,0
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
