year,Ginette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,7
1947,17
1948,9
1949,9
1950,16
1951,18
1952,18
1953,8
1954,19
1955,12
1956,18
1957,17
1958,17
1959,34
1960,24
1961,26
1962,15
1963,24
1964,23
1965,19
1966,15
1967,19
1968,18
1969,21
1970,26
1971,21
1972,17
1973,22
1974,11
1975,23
1976,21
1977,20
1978,25
1979,17
1980,14
1981,16
1982,13
1983,10
1984,14
1985,16
1986,10
1987,8
1988,13
1989,12
1990,14
1991,12
1992,6
1993,14
1994,7
1995,7
1996,7
1997,0
1998,0
1999,5
2000,6
2001,0
2002,5
2003,0
2004,5
2005,5
2006,0
2007,0
2008,0
2009,7
2010,0
2011,7
2012,0
