year,Gifford
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,6
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,8
1899,0
1900,5
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,6
1909,5
1910,7
1911,6
1912,14
1913,28
1914,20
1915,25
1916,22
1917,25
1918,23
1919,26
1920,40
1921,25
1922,36
1923,34
1924,32
1925,24
1926,33
1927,20
1928,16
1929,21
1930,22
1931,32
1932,21
1933,18
1934,22
1935,12
1936,16
1937,21
1938,19
1939,11
1940,12
1941,26
1942,15
1943,17
1944,21
1945,15
1946,24
1947,22
1948,21
1949,13
1950,11
1951,14
1952,24
1953,23
1954,17
1955,26
1956,20
1957,17
1958,20
1959,18
1960,22
1961,17
1962,23
1963,16
1964,13
1965,10
1966,8
1967,11
1968,15
1969,9
1970,8
1971,10
1972,12
1973,9
1974,8
1975,9
1976,11
1977,12
1978,7
1979,12
1980,10
1981,9
1982,8
1983,6
1984,9
1985,9
1986,5
1987,9
1988,7
1989,8
1990,0
1991,7
1992,8
1993,0
1994,0
1995,7
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
