year,Gayla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,7
1922,0
1923,0
1924,0
1925,0
1926,8
1927,8
1928,7
1929,9
1930,6
1931,8
1932,16
1933,18
1934,13
1935,25
1936,48
1937,56
1938,67
1939,63
1940,58
1941,75
1942,92
1943,80
1944,78
1945,88
1946,168
1947,213
1948,224
1949,276
1950,237
1951,282
1952,287
1953,481
1954,618
1955,431
1956,397
1957,389
1958,374
1959,421
1960,399
1961,466
1962,370
1963,353
1964,355
1965,333
1966,309
1967,264
1968,253
1969,234
1970,227
1971,193
1972,140
1973,118
1974,94
1975,103
1976,83
1977,105
1978,71
1979,66
1980,46
1981,47
1982,50
1983,42
1984,32
1985,31
1986,27
1987,50
1988,30
1989,32
1990,25
1991,19
1992,22
1993,19
1994,28
1995,29
1996,18
1997,27
1998,17
1999,17
2000,12
2001,13
2002,8
2003,6
2004,9
2005,5
2006,8
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
