year,Glenora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,8
1903,0
1904,6
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,7
1914,10
1915,7
1916,14
1917,15
1918,12
1919,10
1920,6
1921,9
1922,17
1923,14
1924,20
1925,10
1926,10
1927,8
1928,13
1929,14
1930,16
1931,7
1932,12
1933,9
1934,10
1935,13
1936,9
1937,14
1938,9
1939,8
1940,11
1941,7
1942,8
1943,9
1944,7
1945,11
1946,7
1947,10
1948,0
1949,7
1950,6
1951,6
1952,12
1953,5
1954,0
1955,0
1956,6
1957,6
1958,5
1959,0
1960,0
1961,0
1962,7
1963,5
1964,6
1965,8
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
