year,Garren
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,5
1957,0
1958,5
1959,10
1960,10
1961,10
1962,11
1963,7
1964,13
1965,16
1966,16
1967,10
1968,13
1969,9
1970,13
1971,12
1972,12
1973,14
1974,10
1975,14
1976,12
1977,16
1978,14
1979,19
1980,29
1981,31
1982,33
1983,33
1984,32
1985,28
1986,37
1987,42
1988,36
1989,40
1990,38
1991,43
1992,39
1993,34
1994,33
1995,36
1996,34
1997,38
1998,38
1999,52
2000,68
2001,47
2002,58
2003,51
2004,51
2005,49
2006,42
2007,54
2008,59
2009,46
2010,37
2011,34
2012,34
