year,Golden (F),Golden (M)
1880,0.000000,0.000035
1881,0.000000,0.000026
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000033,0.000021
1885,0.000037,0.000000
1886,0.000051,0.000031
1887,0.000032,0.000028
1888,0.000030,0.000033
1889,0.000038,0.000031
1890,0.000060,0.000030
1891,0.000056,0.000021
1892,0.000063,0.000000
1893,0.000046,0.000031
1894,0.000027,0.000032
1895,0.000046,0.000031
1896,0.000048,0.000022
1897,0.000061,0.000020
1898,0.000063,0.000047
1899,0.000024,0.000021
1900,0.000058,0.000029
1901,0.000035,0.000026
1902,0.000049,0.000036
1903,0.000068,0.000016
1904,0.000045,0.000042
1905,0.000054,0.000035
1906,0.000065,0.000037
1907,0.000058,0.000039
1908,0.000043,0.000029
1909,0.000049,0.000051
1910,0.000042,0.000036
1911,0.000043,0.000026
1912,0.000032,0.000040
1913,0.000021,0.000034
1914,0.000025,0.000028
1915,0.000026,0.000025
1916,0.000029,0.000025
1917,0.000018,0.000026
1918,0.000027,0.000018
1919,0.000029,0.000031
1920,0.000019,0.000023
1921,0.000025,0.000025
1922,0.000022,0.000019
1923,0.000014,0.000021
1924,0.000018,0.000023
1925,0.000013,0.000019
1926,0.000010,0.000016
1927,0.000010,0.000019
1928,0.000015,0.000017
1929,0.000011,0.000016
1930,0.000009,0.000017
1931,0.000010,0.000013
1932,0.000007,0.000014
1933,0.000011,0.000017
1934,0.000006,0.000011
1935,0.000009,0.000009
1936,0.000006,0.000013
1937,0.000007,0.000016
1938,0.000006,0.000011
1939,0.000004,0.000013
1940,0.000007,0.000007
1941,0.000007,0.000006
1942,0.000003,0.000008
1943,0.000002,0.000006
1944,0.000006,0.000008
1945,0.000003,0.000006
1946,0.000004,0.000006
1947,0.000003,0.000007
1948,0.000002,0.000006
1949,0.000003,0.000005
1950,0.000002,0.000004
1951,0.000001,0.000005
1952,0.000003,0.000009
1953,0.000002,0.000003
1954,0.000002,0.000005
1955,0.000001,0.000003
1956,0.000003,0.000004
1957,0.000002,0.000004
1958,0.000001,0.000005
1959,0.000000,0.000002
1960,0.000001,0.000003
1961,0.000002,0.000000
1962,0.000001,0.000003
1963,0.000002,0.000005
1964,0.000002,0.000003
1965,0.000001,0.000002
1966,0.000000,0.000003
1967,0.000002,0.000001
1968,0.000002,0.000002
1969,0.000000,0.000002
1970,0.000002,0.000003
1971,0.000000,0.000002
1972,0.000000,0.000003
1973,0.000000,0.000003
1974,0.000000,0.000004
1975,0.000003,0.000002
1976,0.000000,0.000008
1977,0.000003,0.000007
1978,0.000002,0.000007
1979,0.000003,0.000008
1980,0.000002,0.000006
1981,0.000003,0.000004
1982,0.000002,0.000003
1983,0.000003,0.000004
1984,0.000002,0.000004
1985,0.000003,0.000004
1986,0.000002,0.000003
1987,0.000002,0.000003
1988,0.000002,0.000002
1989,0.000002,0.000003
1990,0.000000,0.000003
1991,0.000002,0.000004
1992,0.000002,0.000002
1993,0.000000,0.000002
1994,0.000000,0.000001
1995,0.000000,0.000003
1996,0.000002,0.000003
1997,0.000000,0.000003
1998,0.000002,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000004
2001,0.000001,0.000003
2002,0.000003,0.000003
2003,0.000000,0.000002
2004,0.000002,0.000004
2005,0.000004,0.000002
2006,0.000004,0.000003
2007,0.000004,0.000004
2008,0.000002,0.000003
2009,0.000002,0.000003
2010,0.000002,0.000005
2011,0.000002,0.000006
2012,0.000003,0.000006
