year,Genell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,5
1914,0
1915,11
1916,9
1917,7
1918,16
1919,11
1920,19
1921,11
1922,10
1923,22
1924,19
1925,23
1926,25
1927,26
1928,24
1929,24
1930,28
1931,30
1932,34
1933,25
1934,16
1935,26
1936,18
1937,30
1938,27
1939,30
1940,24
1941,26
1942,26
1943,27
1944,30
1945,23
1946,24
1947,28
1948,12
1949,14
1950,27
1951,21
1952,19
1953,30
1954,21
1955,23
1956,22
1957,19
1958,21
1959,19
1960,13
1961,26
1962,17
1963,15
1964,26
1965,16
1966,15
1967,16
1968,13
1969,18
1970,12
1971,13
1972,15
1973,12
1974,13
1975,14
1976,9
1977,19
1978,13
1979,13
1980,16
1981,7
1982,9
1983,5
1984,12
1985,14
1986,6
1987,5
1988,7
1989,7
1990,7
1991,7
1992,9
1993,6
1994,6
1995,0
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,7
2011,7
2012,0
