year,Glinda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,7
1932,0
1933,6
1934,0
1935,10
1936,11
1937,10
1938,12
1939,19
1940,18
1941,36
1942,44
1943,58
1944,67
1945,62
1946,73
1947,115
1948,111
1949,115
1950,124
1951,142
1952,127
1953,119
1954,103
1955,127
1956,90
1957,85
1958,92
1959,83
1960,61
1961,80
1962,48
1963,57
1964,35
1965,41
1966,41
1967,31
1968,35
1969,31
1970,25
1971,22
1972,19
1973,20
1974,14
1975,7
1976,12
1977,9
1978,10
1979,5
1980,13
1981,6
1982,5
1983,0
1984,6
1985,6
1986,6
1987,7
1988,9
1989,0
1990,8
1991,0
1992,0
1993,7
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
