year,Geri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,5
1919,0
1920,6
1921,7
1922,0
1923,5
1924,0
1925,0
1926,0
1927,5
1928,0
1929,9
1930,11
1931,16
1932,17
1933,6
1934,20
1935,25
1936,28
1937,24
1938,30
1939,49
1940,34
1941,56
1942,83
1943,81
1944,80
1945,77
1946,91
1947,134
1948,101
1949,104
1950,91
1951,128
1952,150
1953,169
1954,207
1955,247
1956,265
1957,325
1958,368
1959,328
1960,318
1961,318
1962,268
1963,310
1964,264
1965,208
1966,200
1967,231
1968,192
1969,156
1970,183
1971,134
1972,129
1973,112
1974,88
1975,101
1976,85
1977,82
1978,84
1979,83
1980,99
1981,109
1982,96
1983,66
1984,62
1985,72
1986,48
1987,44
1988,55
1989,37
1990,49
1991,40
1992,30
1993,23
1994,22
1995,14
1996,26
1997,19
1998,19
1999,24
2000,15
2001,20
2002,17
2003,16
2004,9
2005,5
2006,12
2007,14
2008,7
2009,0
2010,0
2011,10
2012,0
