year,Genoveva
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,0
1888,5
1889,5
1890,0
1891,0
1892,6
1893,5
1894,13
1895,14
1896,9
1897,6
1898,9
1899,5
1900,0
1901,5
1902,0
1903,0
1904,13
1905,12
1906,10
1907,11
1908,11
1909,12
1910,11
1911,12
1912,15
1913,16
1914,19
1915,24
1916,20
1917,15
1918,25
1919,28
1920,41
1921,32
1922,43
1923,36
1924,40
1925,51
1926,40
1927,47
1928,51
1929,44
1930,41
1931,38
1932,24
1933,32
1934,34
1935,39
1936,27
1937,27
1938,18
1939,21
1940,40
1941,23
1942,22
1943,25
1944,24
1945,20
1946,18
1947,27
1948,26
1949,22
1950,18
1951,20
1952,21
1953,24
1954,24
1955,32
1956,23
1957,20
1958,35
1959,18
1960,18
1961,19
1962,29
1963,24
1964,19
1965,15
1966,25
1967,14
1968,19
1969,35
1970,26
1971,28
1972,16
1973,24
1974,25
1975,15
1976,18
1977,18
1978,20
1979,29
1980,23
1981,18
1982,22
1983,19
1984,14
1985,15
1986,24
1987,11
1988,14
1989,15
1990,16
1991,15
1992,17
1993,16
1994,15
1995,16
1996,9
1997,14
1998,9
1999,13
2000,8
2001,8
2002,14
2003,17
2004,18
2005,7
2006,13
2007,10
2008,6
2009,10
2010,5
2011,15
2012,13
