year,Gisella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,5
1914,0
1915,0
1916,0
1917,7
1918,11
1919,5
1920,8
1921,5
1922,0
1923,6
1924,5
1925,0
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,5
1960,0
1961,7
1962,5
1963,11
1964,6
1965,0
1966,9
1967,9
1968,13
1969,6
1970,8
1971,13
1972,15
1973,10
1974,10
1975,13
1976,9
1977,7
1978,14
1979,10
1980,9
1981,6
1982,9
1983,0
1984,6
1985,5
1986,0
1987,13
1988,7
1989,13
1990,11
1991,12
1992,12
1993,18
1994,18
1995,26
1996,25
1997,16
1998,20
1999,28
2000,29
2001,32
2002,31
2003,46
2004,50
2005,53
2006,61
2007,50
2008,49
2009,67
2010,37
2011,54
2012,49
