year,Gigi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,7
1942,0
1943,8
1944,5
1945,10
1946,13
1947,18
1948,15
1949,24
1950,25
1951,34
1952,44
1953,49
1954,45
1955,46
1956,62
1957,61
1958,124
1959,251
1960,259
1961,268
1962,271
1963,206
1964,195
1965,140
1966,121
1967,94
1968,84
1969,65
1970,57
1971,53
1972,56
1973,33
1974,45
1975,37
1976,27
1977,22
1978,26
1979,23
1980,26
1981,18
1982,22
1983,17
1984,11
1985,12
1986,13
1987,9
1988,19
1989,27
1990,20
1991,27
1992,21
1993,19
1994,14
1995,18
1996,23
1997,23
1998,16
1999,21
2000,23
2001,28
2002,21
2003,33
2004,26
2005,34
2006,30
2007,29
2008,34
2009,24
2010,46
2011,37
2012,41
