year,Garner
1880,0
1881,5
1882,0
1883,0
1884,0
1885,7
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,0
1899,0
1900,0
1901,5
1902,6
1903,0
1904,5
1905,0
1906,0
1907,0
1908,7
1909,9
1910,13
1911,6
1912,14
1913,19
1914,22
1915,25
1916,27
1917,27
1918,29
1919,30
1920,34
1921,27
1922,29
1923,33
1924,23
1925,17
1926,23
1927,20
1928,26
1929,24
1930,16
1931,19
1932,82
1933,63
1934,24
1935,19
1936,24
1937,29
1938,22
1939,21
1940,20
1941,20
1942,11
1943,14
1944,23
1945,13
1946,11
1947,24
1948,18
1949,13
1950,18
1951,13
1952,15
1953,16
1954,20
1955,10
1956,13
1957,19
1958,12
1959,24
1960,17
1961,28
1962,27
1963,19
1964,23
1965,18
1966,10
1967,19
1968,13
1969,27
1970,18
1971,15
1972,11
1973,13
1974,15
1975,14
1976,10
1977,16
1978,15
1979,11
1980,14
1981,9
1982,7
1983,8
1984,8
1985,8
1986,8
1987,7
1988,7
1989,12
1990,10
1991,10
1992,5
1993,14
1994,22
1995,8
1996,13
1997,18
1998,17
1999,15
2000,8
2001,20
2002,27
2003,19
2004,28
2005,31
2006,25
2007,17
2008,29
2009,14
2010,34
2011,12
2012,25
