year,Garold
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,5
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,12
1913,32
1914,26
1915,47
1916,47
1917,39
1918,44
1919,40
1920,44
1921,56
1922,43
1923,41
1924,40
1925,33
1926,39
1927,40
1928,43
1929,36
1930,35
1931,42
1932,51
1933,43
1934,42
1935,51
1936,72
1937,49
1938,65
1939,72
1940,68
1941,66
1942,62
1943,69
1944,65
1945,51
1946,97
1947,91
1948,64
1949,65
1950,57
1951,82
1952,63
1953,61
1954,82
1955,59
1956,46
1957,54
1958,37
1959,48
1960,38
1961,38
1962,33
1963,39
1964,27
1965,29
1966,22
1967,30
1968,18
1969,24
1970,17
1971,14
1972,19
1973,11
1974,9
1975,15
1976,8
1977,12
1978,9
1979,10
1980,11
1981,7
1982,8
1983,5
1984,7
1985,5
1986,7
1987,10
1988,6
1989,10
1990,0
1991,8
1992,5
1993,0
1994,0
1995,0
1996,7
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
