year,Gizella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,6
1902,0
1903,6
1904,0
1905,6
1906,7
1907,5
1908,11
1909,5
1910,12
1911,9
1912,15
1913,14
1914,32
1915,31
1916,37
1917,37
1918,31
1919,24
1920,32
1921,23
1922,21
1923,25
1924,20
1925,24
1926,16
1927,14
1928,16
1929,11
1930,8
1931,7
1932,0
1933,0
1934,0
1935,6
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,0
1961,0
1962,7
1963,0
1964,0
1965,0
1966,7
1967,6
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,5
2010,0
2011,5
2012,0
