year,Gaspar
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,5
1914,5
1915,14
1916,13
1917,11
1918,19
1919,10
1920,13
1921,21
1922,15
1923,19
1924,21
1925,17
1926,13
1927,20
1928,20
1929,10
1930,19
1931,16
1932,5
1933,15
1934,10
1935,0
1936,6
1937,10
1938,6
1939,9
1940,7
1941,5
1942,11
1943,10
1944,10
1945,9
1946,10
1947,12
1948,13
1949,13
1950,8
1951,14
1952,11
1953,10
1954,9
1955,12
1956,12
1957,10
1958,10
1959,11
1960,20
1961,9
1962,20
1963,9
1964,11
1965,17
1966,10
1967,8
1968,13
1969,15
1970,11
1971,18
1972,18
1973,19
1974,17
1975,19
1976,7
1977,13
1978,16
1979,21
1980,20
1981,20
1982,14
1983,11
1984,12
1985,18
1986,16
1987,23
1988,13
1989,21
1990,28
1991,25
1992,29
1993,28
1994,32
1995,18
1996,39
1997,27
1998,40
1999,36
2000,35
2001,27
2002,23
2003,33
2004,39
2005,41
2006,35
2007,37
2008,42
2009,29
2010,27
2011,23
2012,26
