year,Garry (F),Garry (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000027
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000017
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000021
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000016
1904,0.000000,0.000012
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000008
1912,0.000000,0.000011
1913,0.000000,0.000013
1914,0.000000,0.000010
1915,0.000000,0.000009
1916,0.000000,0.000012
1917,0.000000,0.000006
1918,0.000000,0.000012
1919,0.000000,0.000012
1920,0.000000,0.000012
1921,0.000000,0.000009
1922,0.000000,0.000009
1923,0.000000,0.000012
1924,0.000000,0.000010
1925,0.000000,0.000012
1926,0.000000,0.000013
1927,0.000000,0.000014
1928,0.000000,0.000020
1929,0.000000,0.000023
1930,0.000000,0.000028
1931,0.000000,0.000039
1932,0.000000,0.000045
1933,0.000000,0.000058
1934,0.000003,0.000079
1935,0.000000,0.000124
1936,0.000000,0.000130
1937,0.000003,0.000137
1938,0.000000,0.000166
1939,0.000002,0.000184
1940,0.000004,0.000242
1941,0.000000,0.000252
1942,0.000003,0.000278
1943,0.000002,0.000294
1944,0.000003,0.000345
1945,0.000002,0.000396
1946,0.000000,0.000411
1947,0.000000,0.000402
1948,0.000000,0.000406
1949,0.000003,0.000407
1950,0.000003,0.000439
1951,0.000001,0.000453
1952,0.000002,0.000475
1953,0.000002,0.000532
1954,0.000003,0.000556
1955,0.000002,0.000547
1956,0.000001,0.000495
1957,0.000003,0.000485
1958,0.000002,0.000427
1959,0.000001,0.000354
1960,0.000001,0.000298
1961,0.000000,0.000270
1962,0.000001,0.000245
1963,0.000002,0.000226
1964,0.000000,0.000190
1965,0.000002,0.000152
1966,0.000000,0.000160
1967,0.000000,0.000143
1968,0.000000,0.000125
1969,0.000000,0.000119
1970,0.000000,0.000129
1971,0.000000,0.000120
1972,0.000002,0.000116
1973,0.000000,0.000110
1974,0.000000,0.000122
1975,0.000000,0.000112
1976,0.000000,0.000119
1977,0.000000,0.000114
1978,0.000002,0.000101
1979,0.000000,0.000097
1980,0.000000,0.000090
1981,0.000000,0.000090
1982,0.000000,0.000078
1983,0.000000,0.000076
1984,0.000002,0.000082
1985,0.000000,0.000070
1986,0.000000,0.000068
1987,0.000000,0.000059
1988,0.000000,0.000058
1989,0.000000,0.000049
1990,0.000000,0.000044
1991,0.000000,0.000042
1992,0.000000,0.000043
1993,0.000000,0.000029
1994,0.000000,0.000035
1995,0.000000,0.000029
1996,0.000000,0.000029
1997,0.000000,0.000028
1998,0.000000,0.000027
1999,0.000000,0.000022
2000,0.000000,0.000023
2001,0.000000,0.000018
2002,0.000000,0.000021
2003,0.000000,0.000016
2004,0.000000,0.000017
2005,0.000000,0.000016
2006,0.000000,0.000017
2007,0.000000,0.000018
2008,0.000000,0.000014
2009,0.000000,0.000009
2010,0.000000,0.000008
2011,0.000000,0.000010
2012,0.000000,0.000011
2013,0.000000,0.000009
