year,Georgann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,5
1918,0
1919,0
1920,0
1921,6
1922,8
1923,6
1924,8
1925,11
1926,18
1927,15
1928,14
1929,10
1930,17
1931,13
1932,14
1933,20
1934,18
1935,16
1936,26
1937,19
1938,27
1939,37
1940,35
1941,38
1942,43
1943,54
1944,47
1945,51
1946,55
1947,67
1948,67
1949,58
1950,55
1951,67
1952,53
1953,77
1954,54
1955,55
1956,57
1957,63
1958,43
1959,36
1960,36
1961,39
1962,31
1963,24
1964,34
1965,23
1966,19
1967,16
1968,21
1969,18
1970,23
1971,13
1972,5
1973,8
1974,8
1975,6
1976,5
1977,0
1978,6
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
