year,Georgiana
1880,36
1881,20
1882,20
1883,23
1884,23
1885,24
1886,34
1887,28
1888,26
1889,50
1890,36
1891,39
1892,28
1893,29
1894,37
1895,34
1896,45
1897,40
1898,44
1899,30
1900,46
1901,31
1902,36
1903,40
1904,34
1905,37
1906,42
1907,37
1908,47
1909,58
1910,53
1911,60
1912,83
1913,86
1914,99
1915,144
1916,145
1917,138
1918,172
1919,137
1920,150
1921,131
1922,152
1923,144
1924,161
1925,130
1926,152
1927,124
1928,123
1929,110
1930,101
1931,98
1932,101
1933,85
1934,95
1935,105
1936,88
1937,103
1938,109
1939,115
1940,116
1941,125
1942,147
1943,129
1944,105
1945,105
1946,114
1947,121
1948,115
1949,133
1950,101
1951,107
1952,106
1953,89
1954,74
1955,75
1956,69
1957,68
1958,69
1959,46
1960,51
1961,45
1962,46
1963,40
1964,43
1965,34
1966,43
1967,58
1968,60
1969,48
1970,50
1971,48
1972,48
1973,41
1974,43
1975,45
1976,47
1977,46
1978,33
1979,47
1980,41
1981,17
1982,27
1983,17
1984,25
1985,19
1986,27
1987,16
1988,18
1989,26
1990,15
1991,27
1992,20
1993,29
1994,33
1995,31
1996,43
1997,42
1998,31
1999,30
2000,37
2001,33
2002,36
2003,31
2004,38
2005,43
2006,30
2007,45
2008,33
2009,41
2010,60
2011,64
2012,70
