year,George (F),George (M)
1880,0.000129,0.025441
1881,0.000156,0.024205
1882,0.000144,0.023441
1883,0.000101,0.021831
1884,0.000164,0.020377
1885,0.000120,0.019406
1886,0.000149,0.018295
1887,0.000137,0.017317
1888,0.000120,0.016402
1889,0.000145,0.015332
1890,0.000123,0.014791
1891,0.000080,0.013713
1892,0.000120,0.014236
1893,0.000077,0.013283
1894,0.000094,0.012888
1895,0.000131,0.012219
1896,0.000090,0.011989
1897,0.000075,0.011754
1898,0.000134,0.012722
1899,0.000097,0.011844
1900,0.000087,0.011999
1901,0.000078,0.010436
1902,0.000083,0.010920
1903,0.000071,0.010391
1904,0.000064,0.010456
1905,0.000075,0.010039
1906,0.000070,0.009805
1907,0.000095,0.009551
1908,0.000084,0.009381
1909,0.000072,0.009170
1910,0.000098,0.009211
1911,0.000079,0.010222
1912,0.000070,0.011876
1913,0.000068,0.012201
1914,0.000076,0.012428
1915,0.000076,0.012173
1916,0.000070,0.012087
1917,0.000069,0.012057
1918,0.000072,0.012122
1919,0.000078,0.011928
1920,0.000073,0.011885
1921,0.000088,0.011769
1922,0.000086,0.011948
1923,0.000077,0.011736
1924,0.000083,0.011495
1925,0.000089,0.011383
1926,0.000100,0.011284
1927,0.000107,0.011188
1928,0.000102,0.010791
1929,0.000092,0.010500
1930,0.000109,0.010247
1931,0.000081,0.009832
1932,0.000082,0.009682
1933,0.000073,0.009181
1934,0.000077,0.008906
1935,0.000074,0.008884
1936,0.000061,0.008759
1937,0.000068,0.008652
1938,0.000064,0.008332
1939,0.000064,0.008117
1940,0.000056,0.007955
1941,0.000047,0.007906
1942,0.000055,0.007787
1943,0.000054,0.007684
1944,0.000048,0.007591
1945,0.000048,0.007282
1946,0.000037,0.006753
1947,0.000033,0.006640
1948,0.000037,0.006350
1949,0.000031,0.006116
1950,0.000031,0.005760
1951,0.000030,0.005488
1952,0.000028,0.005218
1953,0.000027,0.004977
1954,0.000026,0.004698
1955,0.000027,0.004525
1956,0.000021,0.004180
1957,0.000025,0.004018
1958,0.000020,0.003782
1959,0.000025,0.003610
1960,0.000020,0.003384
1961,0.000022,0.003294
1962,0.000015,0.003109
1963,0.000020,0.003052
1964,0.000018,0.003033
1965,0.000021,0.002945
1966,0.000020,0.002861
1967,0.000023,0.002858
1968,0.000018,0.002778
1969,0.000021,0.002648
1970,0.000019,0.002472
1971,0.000017,0.002397
1972,0.000017,0.002280
1973,0.000017,0.002190
1974,0.000018,0.002065
1975,0.000018,0.001936
1976,0.000010,0.001832
1977,0.000017,0.001764
1978,0.000012,0.001671
1979,0.000015,0.001581
1980,0.000011,0.001539
1981,0.000012,0.001491
1982,0.000015,0.001423
1983,0.000012,0.001298
1984,0.000009,0.001225
1985,0.000010,0.001193
1986,0.000009,0.001222
1987,0.000009,0.001134
1988,0.000010,0.001162
1989,0.000007,0.001173
1990,0.000004,0.001156
1991,0.000005,0.001073
1992,0.000003,0.001014
1993,0.000004,0.000932
1994,0.000005,0.000892
1995,0.000004,0.000897
1996,0.000004,0.000885
1997,0.000002,0.000876
1998,0.000001,0.000828
1999,0.000003,0.000823
2000,0.000002,0.000804
2001,0.000002,0.000825
2002,0.000002,0.000807
2003,0.000001,0.000766
2004,0.000004,0.000716
2005,0.000002,0.000735
2006,0.000002,0.000683
2007,0.000002,0.000691
2008,0.000000,0.000650
2009,0.000002,0.000623
2010,0.000002,0.000643
2011,0.000002,0.000634
2012,0.000001,0.000638
2013,0.000000,0.000702
2014,0.000000,0.000812
2015,0.000000,0.000825
2016,0.000002,0.000902
2017,0.000000,0.000887
2018,0.000000,0.000877
2019,0.000002,0.000921
2020,0.000002,0.000831
