year,Gae
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,0
1916,0
1917,7
1918,6
1919,7
1920,0
1921,8
1922,0
1923,9
1924,8
1925,6
1926,5
1927,6
1928,5
1929,5
1930,7
1931,7
1932,10
1933,7
1934,10
1935,10
1936,15
1937,12
1938,9
1939,8
1940,18
1941,14
1942,16
1943,16
1944,17
1945,22
1946,28
1947,18
1948,26
1949,16
1950,13
1951,24
1952,28
1953,17
1954,24
1955,18
1956,20
1957,15
1958,11
1959,14
1960,13
1961,17
1962,13
1963,9
1964,12
1965,14
1966,9
1967,10
1968,7
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
