year,Glenys
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,7
1913,0
1914,11
1915,7
1916,5
1917,12
1918,10
1919,17
1920,8
1921,7
1922,19
1923,5
1924,11
1925,23
1926,14
1927,10
1928,14
1929,18
1930,14
1931,12
1932,0
1933,11
1934,10
1935,16
1936,7
1937,6
1938,12
1939,15
1940,19
1941,9
1942,12
1943,5
1944,12
1945,11
1946,8
1947,8
1948,18
1949,8
1950,9
1951,11
1952,12
1953,8
1954,7
1955,9
1956,6
1957,10
1958,6
1959,10
1960,0
1961,0
1962,5
1963,0
1964,8
1965,0
1966,0
1967,0
1968,0
1969,6
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,6
1984,5
1985,0
1986,0
1987,0
1988,0
1989,5
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,5
1997,0
1998,5
1999,5
2000,0
2001,7
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,9
2010,0
2011,0
2012,0
