year,Garnet (F),Garnet (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000029,0.000000
1885,0.000033,0.000000
1886,0.000020,0.000000
1887,0.000040,0.000000
1888,0.000000,0.000000
1889,0.000038,0.000024
1890,0.000050,0.000017
1891,0.000056,0.000000
1892,0.000048,0.000000
1893,0.000071,0.000000
1894,0.000065,0.000021
1895,0.000063,0.000000
1896,0.000081,0.000000
1897,0.000101,0.000000
1898,0.000092,0.000000
1899,0.000094,0.000000
1900,0.000064,0.000016
1901,0.000130,0.000000
1902,0.000096,0.000000
1903,0.000115,0.000021
1904,0.000107,0.000037
1905,0.000120,0.000014
1906,0.000156,0.000000
1907,0.000165,0.000019
1908,0.000143,0.000025
1909,0.000156,0.000010
1910,0.000125,0.000022
1911,0.000180,0.000019
1912,0.000108,0.000020
1913,0.000117,0.000027
1914,0.000112,0.000023
1915,0.000105,0.000027
1916,0.000108,0.000022
1917,0.000116,0.000026
1918,0.000119,0.000021
1919,0.000105,0.000026
1920,0.000111,0.000024
1921,0.000087,0.000021
1922,0.000071,0.000019
1923,0.000081,0.000020
1924,0.000070,0.000023
1925,0.000067,0.000020
1926,0.000060,0.000013
1927,0.000060,0.000020
1928,0.000052,0.000015
1929,0.000063,0.000018
1930,0.000048,0.000013
1931,0.000051,0.000019
1932,0.000048,0.000013
1933,0.000056,0.000011
1934,0.000043,0.000019
1935,0.000046,0.000015
1936,0.000037,0.000014
1937,0.000049,0.000012
1938,0.000042,0.000008
1939,0.000032,0.000013
1940,0.000040,0.000010
1941,0.000030,0.000009
1942,0.000039,0.000013
1943,0.000028,0.000009
1944,0.000025,0.000007
1945,0.000022,0.000008
1946,0.000019,0.000007
1947,0.000016,0.000008
1948,0.000015,0.000007
1949,0.000011,0.000005
1950,0.000015,0.000007
1951,0.000015,0.000004
1952,0.000014,0.000006
1953,0.000015,0.000005
1954,0.000012,0.000005
1955,0.000010,0.000003
1956,0.000008,0.000004
1957,0.000010,0.000002
1958,0.000006,0.000004
1959,0.000007,0.000003
1960,0.000007,0.000004
1961,0.000007,0.000005
1962,0.000006,0.000002
1963,0.000005,0.000003
1964,0.000005,0.000005
1965,0.000005,0.000006
1966,0.000008,0.000003
1967,0.000006,0.000003
1968,0.000007,0.000004
1969,0.000006,0.000003
1970,0.000004,0.000004
1971,0.000005,0.000003
1972,0.000003,0.000003
1973,0.000003,0.000004
1974,0.000006,0.000002
1975,0.000005,0.000000
1976,0.000003,0.000003
1977,0.000003,0.000003
1978,0.000003,0.000000
1979,0.000003,0.000000
1980,0.000004,0.000003
1981,0.000004,0.000001
1982,0.000000,0.000002
1983,0.000001,0.000000
1984,0.000002,0.000003
1985,0.000002,0.000002
1986,0.000003,0.000002
1987,0.000001,0.000000
1988,0.000002,0.000002
1989,0.000002,0.000004
1990,0.000002,0.000002
1991,0.000001,0.000001
1992,0.000002,0.000001
1993,0.000000,0.000000
1994,0.000002,0.000001
1995,0.000002,0.000002
1996,0.000000,0.000001
1997,0.000000,0.000002
1998,0.000002,0.000002
1999,0.000000,0.000002
2000,0.000001,0.000000
2001,0.000000,0.000002
2002,0.000002,0.000000
2003,0.000000,0.000002
2004,0.000000,0.000000
2005,0.000002,0.000001
2006,0.000001,0.000000
2007,0.000000,0.000001
2008,0.000001,0.000000
2009,0.000002,0.000002
2010,0.000001,0.000000
2011,0.000003,0.000000
2012,0.000000,0.000000
