year,Genette
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,0
1916,7
1917,0
1918,7
1919,0
1920,7
1921,12
1922,10
1923,0
1924,0
1925,8
1926,0
1927,10
1928,6
1929,0
1930,0
1931,5
1932,8
1933,7
1934,5
1935,8
1936,10
1937,6
1938,11
1939,11
1940,9
1941,10
1942,9
1943,14
1944,10
1945,9
1946,11
1947,15
1948,12
1949,13
1950,16
1951,13
1952,11
1953,0
1954,10
1955,10
1956,18
1957,12
1958,11
1959,6
1960,16
1961,15
1962,6
1963,17
1964,10
1965,17
1966,9
1967,6
1968,7
1969,14
1970,11
1971,0
1972,9
1973,11
1974,11
1975,9
1976,0
1977,10
1978,11
1979,7
1980,6
1981,10
1982,6
1983,9
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,6
2012,0
