year,Geoff
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,5
1941,0
1942,7
1943,5
1944,8
1945,8
1946,7
1947,11
1948,13
1949,10
1950,7
1951,12
1952,17
1953,14
1954,17
1955,13
1956,21
1957,27
1958,49
1959,47
1960,57
1961,59
1962,65
1963,57
1964,42
1965,42
1966,38
1967,42
1968,32
1969,61
1970,62
1971,57
1972,44
1973,47
1974,37
1975,60
1976,47
1977,34
1978,30
1979,26
1980,21
1981,15
1982,11
1983,15
1984,17
1985,14
1986,31
1987,21
1988,18
1989,21
1990,24
1991,6
1992,13
1993,13
1994,14
1995,8
1996,10
1997,0
1998,6
1999,5
2000,6
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,5
2008,0
2009,0
2010,8
2011,0
2012,0
