year,Gwynne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,5
1923,5
1924,5
1925,5
1926,18
1927,5
1928,8
1929,0
1930,7
1931,7
1932,10
1933,10
1934,8
1935,17
1936,10
1937,7
1938,11
1939,16
1940,20
1941,22
1942,24
1943,27
1944,21
1945,14
1946,29
1947,28
1948,31
1949,40
1950,33
1951,48
1952,41
1953,29
1954,40
1955,45
1956,32
1957,27
1958,32
1959,24
1960,21
1961,29
1962,31
1963,21
1964,14
1965,22
1966,16
1967,23
1968,21
1969,33
1970,28
1971,22
1972,13
1973,17
1974,18
1975,21
1976,29
1977,8
1978,17
1979,23
1980,13
1981,15
1982,20
1983,15
1984,11
1985,11
1986,12
1987,6
1988,7
1989,13
1990,6
1991,5
1992,0
1993,5
1994,0
1995,0
1996,6
1997,6
1998,6
1999,8
2000,8
2001,7
2002,14
2003,0
2004,5
2005,0
2006,0
2007,0
2008,5
2009,0
2010,0
2011,0
2012,0
