year,Guillermina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,5
1921,5
1922,0
1923,11
1924,11
1925,20
1926,18
1927,9
1928,15
1929,14
1930,11
1931,8
1932,9
1933,10
1934,10
1935,6
1936,9
1937,10
1938,9
1939,12
1940,10
1941,7
1942,18
1943,11
1944,12
1945,12
1946,14
1947,13
1948,20
1949,23
1950,27
1951,22
1952,23
1953,29
1954,29
1955,31
1956,33
1957,23
1958,24
1959,33
1960,31
1961,29
1962,25
1963,23
1964,31
1965,30
1966,40
1967,26
1968,22
1969,35
1970,37
1971,30
1972,24
1973,40
1974,37
1975,36
1976,38
1977,39
1978,35
1979,34
1980,31
1981,22
1982,30
1983,28
1984,26
1985,29
1986,26
1987,14
1988,22
1989,22
1990,28
1991,20
1992,27
1993,27
1994,26
1995,22
1996,20
1997,15
1998,20
1999,24
2000,11
2001,16
2002,17
2003,12
2004,17
2005,14
2006,13
2007,10
2008,11
2009,0
2010,0
2011,8
2012,6
