year,Giles (F),Giles (M)
1880,0.000000,0.000089
1881,0.000000,0.000109
1882,0.000000,0.000054
1883,0.000000,0.000078
1884,0.000000,0.000058
1885,0.000000,0.000062
1886,0.000000,0.000051
1887,0.000000,0.000044
1888,0.000000,0.000067
1889,0.000000,0.000042
1890,0.000000,0.000036
1891,0.000000,0.000021
1892,0.000000,0.000021
1893,0.000000,0.000052
1894,0.000000,0.000000
1895,0.000000,0.000023
1896,0.000000,0.000022
1897,0.000000,0.000037
1898,0.000000,0.000016
1899,0.000000,0.000050
1900,0.000000,0.000033
1901,0.000000,0.000032
1902,0.000000,0.000023
1903,0.000000,0.000018
1904,0.000000,0.000037
1905,0.000000,0.000021
1906,0.000000,0.000016
1907,0.000000,0.000015
1908,0.000000,0.000029
1909,0.000000,0.000018
1910,0.000000,0.000022
1911,0.000000,0.000028
1912,0.000000,0.000032
1913,0.000000,0.000040
1914,0.000000,0.000040
1915,0.000000,0.000035
1916,0.000000,0.000028
1917,0.000000,0.000036
1918,0.000000,0.000040
1919,0.000000,0.000031
1920,0.000000,0.000030
1921,0.000000,0.000022
1922,0.000000,0.000035
1923,0.000000,0.000028
1924,0.000000,0.000026
1925,0.000000,0.000033
1926,0.000000,0.000026
1927,0.000000,0.000030
1928,0.000000,0.000035
1929,0.000000,0.000031
1930,0.000000,0.000028
1931,0.000000,0.000031
1932,0.000000,0.000036
1933,0.000000,0.000035
1934,0.000000,0.000029
1935,0.000000,0.000028
1936,0.000000,0.000025
1937,0.000000,0.000019
1938,0.000000,0.000028
1939,0.000000,0.000021
1940,0.000000,0.000019
1941,0.000000,0.000025
1942,0.000000,0.000018
1943,0.000000,0.000018
1944,0.000000,0.000020
1945,0.000000,0.000016
1946,0.000000,0.000010
1947,0.000000,0.000015
1948,0.000000,0.000014
1949,0.000000,0.000011
1950,0.000000,0.000013
1951,0.000000,0.000014
1952,0.000000,0.000011
1953,0.000000,0.000011
1954,0.000000,0.000015
1955,0.000000,0.000015
1956,0.000000,0.000012
1957,0.000000,0.000012
1958,0.000000,0.000011
1959,0.000000,0.000009
1960,0.000000,0.000011
1961,0.000000,0.000007
1962,0.000000,0.000012
1963,0.000000,0.000009
1964,0.000000,0.000011
1965,0.000000,0.000006
1966,0.000000,0.000009
1967,0.000000,0.000008
1968,0.000000,0.000009
1969,0.000000,0.000009
1970,0.000000,0.000009
1971,0.000000,0.000008
1972,0.000000,0.000010
1973,0.000000,0.000007
1974,0.000000,0.000012
1975,0.000000,0.000009
1976,0.000000,0.000009
1977,0.000000,0.000007
1978,0.000000,0.000010
1979,0.000000,0.000008
1980,0.000000,0.000007
1981,0.000000,0.000007
1982,0.000000,0.000008
1983,0.000000,0.000007
1984,0.000000,0.000010
1985,0.000000,0.000007
1986,0.000000,0.000008
1987,0.000000,0.000007
1988,0.000000,0.000004
1989,0.000000,0.000007
1990,0.000000,0.000005
1991,0.000000,0.000008
1992,0.000000,0.000010
1993,0.000000,0.000008
1994,0.000000,0.000006
1995,0.000000,0.000008
1996,0.000000,0.000004
1997,0.000000,0.000007
1998,0.000000,0.000005
1999,0.000000,0.000005
2000,0.000000,0.000004
2001,0.000000,0.000005
2002,0.000000,0.000005
2003,0.000000,0.000006
2004,0.000000,0.000005
2005,0.000000,0.000007
2006,0.000000,0.000005
2007,0.000000,0.000007
2008,0.000000,0.000006
2009,0.000000,0.000005
2010,0.000000,0.000008
2011,0.000000,0.000005
2012,0.000000,0.000007
2013,0.000000,0.000005
2014,0.000000,0.000003
2015,0.000000,0.000005
2016,0.000000,0.000005
2017,0.000000,0.000004
2018,0.000000,0.000005
2019,0.000000,0.000008
2020,0.000000,0.000005
