year,Guinevere
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,20
1914,13
1915,19
1916,24
1917,23
1918,16
1919,10
1920,16
1921,17
1922,14
1923,16
1924,22
1925,13
1926,15
1927,16
1928,8
1929,8
1930,8
1931,11
1932,0
1933,7
1934,7
1935,16
1936,7
1937,7
1938,0
1939,5
1940,0
1941,6
1942,5
1943,7
1944,8
1945,5
1946,5
1947,5
1948,0
1949,5
1950,5
1951,6
1952,0
1953,0
1954,6
1955,5
1956,7
1957,0
1958,0
1959,0
1960,0
1961,0
1962,6
1963,0
1964,0
1965,0
1966,5
1967,9
1968,8
1969,11
1970,18
1971,22
1972,14
1973,11
1974,18
1975,14
1976,21
1977,20
1978,12
1979,17
1980,20
1981,26
1982,23
1983,23
1984,15
1985,15
1986,14
1987,13
1988,7
1989,7
1990,19
1991,11
1992,9
1993,14
1994,13
1995,15
1996,20
1997,36
1998,25
1999,21
2000,44
2001,41
2002,56
2003,57
2004,62
2005,74
2006,73
2007,61
2008,59
2009,62
2010,58
2011,91
2012,101
