year,Gabe (F),Gabe (M)
1880,0.000000,0.000055
1881,0.000000,0.000026
1882,0.000000,0.000036
1883,0.000000,0.000028
1884,0.000000,0.000021
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000020
1888,0.000000,0.000027
1889,0.000000,0.000021
1890,0.000000,0.000030
1891,0.000000,0.000028
1892,0.000000,0.000021
1893,0.000000,0.000028
1894,0.000000,0.000024
1895,0.000000,0.000023
1896,0.000000,0.000014
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000016
1904,0.000000,0.000012
1905,0.000000,0.000019
1906,0.000000,0.000016
1907,0.000000,0.000013
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000012
1912,0.000000,0.000007
1913,0.000000,0.000008
1914,0.000000,0.000010
1915,0.000000,0.000008
1916,0.000000,0.000006
1917,0.000000,0.000008
1918,0.000000,0.000008
1919,0.000000,0.000007
1920,0.000000,0.000006
1921,0.000000,0.000006
1922,0.000000,0.000007
1923,0.000000,0.000003
1924,0.000000,0.000005
1925,0.000000,0.000003
1926,0.000000,0.000006
1927,0.000000,0.000003
1928,0.000000,0.000006
1929,0.000000,0.000008
1930,0.000000,0.000006
1931,0.000000,0.000004
1932,0.000000,0.000007
1933,0.000000,0.000007
1934,0.000000,0.000007
1935,0.000000,0.000004
1936,0.000000,0.000004
1937,0.000000,0.000008
1938,0.000000,0.000008
1939,0.000000,0.000005
1940,0.000000,0.000005
1941,0.000000,0.000004
1942,0.000000,0.000005
1943,0.000000,0.000004
1944,0.000000,0.000005
1945,0.000000,0.000004
1946,0.000000,0.000003
1947,0.000000,0.000003
1948,0.000000,0.000005
1949,0.000000,0.000004
1950,0.000000,0.000003
1951,0.000000,0.000004
1952,0.000000,0.000003
1953,0.000000,0.000005
1954,0.000000,0.000004
1955,0.000000,0.000004
1956,0.000000,0.000004
1957,0.000000,0.000005
1958,0.000000,0.000006
1959,0.000000,0.000007
1960,0.000000,0.000006
1961,0.000000,0.000007
1962,0.000000,0.000006
1963,0.000000,0.000009
1964,0.000000,0.000008
1965,0.000000,0.000006
1966,0.000000,0.000004
1967,0.000000,0.000006
1968,0.000000,0.000004
1969,0.000000,0.000008
1970,0.000000,0.000007
1971,0.000000,0.000013
1972,0.000000,0.000020
1973,0.000000,0.000015
1974,0.000000,0.000014
1975,0.000000,0.000019
1976,0.000000,0.000018
1977,0.000000,0.000018
1978,0.000000,0.000012
1979,0.000000,0.000011
1980,0.000000,0.000009
1981,0.000000,0.000009
1982,0.000000,0.000005
1983,0.000000,0.000005
1984,0.000000,0.000004
1985,0.000000,0.000004
1986,0.000000,0.000003
1987,0.000000,0.000000
1988,0.000000,0.000005
1989,0.000000,0.000003
1990,0.000000,0.000004
1991,0.000000,0.000003
1992,0.000000,0.000003
1993,0.000000,0.000006
1994,0.000000,0.000008
1995,0.000000,0.000011
1996,0.000000,0.000009
1997,0.000000,0.000012
1998,0.000000,0.000014
1999,0.000000,0.000018
2000,0.000000,0.000023
2001,0.000000,0.000028
2002,0.000000,0.000024
2003,0.000000,0.000030
2004,0.000000,0.000031
2005,0.000000,0.000033
2006,0.000000,0.000030
2007,0.000000,0.000031
2008,0.000000,0.000028
2009,0.000000,0.000029
2010,0.000000,0.000024
2011,0.000000,0.000034
2012,0.000000,0.000028
