year,Gust
1880,23
1881,22
1882,25
1883,12
1884,20
1885,15
1886,24
1887,25
1888,25
1889,27
1890,19
1891,16
1892,31
1893,12
1894,20
1895,20
1896,21
1897,17
1898,16
1899,16
1900,16
1901,15
1902,15
1903,11
1904,5
1905,6
1906,11
1907,11
1908,8
1909,10
1910,14
1911,10
1912,25
1913,16
1914,30
1915,37
1916,27
1917,39
1918,38
1919,56
1920,47
1921,42
1922,39
1923,59
1924,41
1925,36
1926,44
1927,50
1928,48
1929,40
1930,46
1931,38
1932,26
1933,26
1934,27
1935,19
1936,21
1937,13
1938,14
1939,12
1940,12
1941,11
1942,5
1943,6
1944,10
1945,13
1946,5
1947,9
1948,12
1949,18
1950,8
1951,15
1952,13
1953,13
1954,9
1955,10
1956,18
1957,17
1958,8
1959,14
1960,8
1961,15
1962,9
1963,9
1964,14
1965,14
1966,7
1967,6
1968,8
1969,13
1970,7
1971,10
1972,0
1973,7
1974,0
1975,0
1976,6
1977,5
1978,7
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
