year,Gavin (F),Gavin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000004
1914,0.000000,0.000007
1915,0.000000,0.000005
1916,0.000000,0.000000
1917,0.000000,0.000004
1918,0.000000,0.000000
1919,0.000000,0.000008
1920,0.000000,0.000005
1921,0.000000,0.000006
1922,0.000000,0.000005
1923,0.000000,0.000005
1924,0.000000,0.000005
1925,0.000000,0.000006
1926,0.000000,0.000007
1927,0.000000,0.000006
1928,0.000000,0.000006
1929,0.000000,0.000003
1930,0.000000,0.000004
1931,0.000000,0.000006
1932,0.000000,0.000007
1933,0.000000,0.000007
1934,0.000000,0.000002
1935,0.000000,0.000007
1936,0.000000,0.000004
1937,0.000000,0.000007
1938,0.000000,0.000005
1939,0.000000,0.000005
1940,0.000000,0.000006
1941,0.000000,0.000007
1942,0.000000,0.000007
1943,0.000000,0.000002
1944,0.000000,0.000005
1945,0.000000,0.000005
1946,0.000000,0.000007
1947,0.000000,0.000008
1948,0.000000,0.000007
1949,0.000000,0.000007
1950,0.000000,0.000008
1951,0.000000,0.000008
1952,0.000000,0.000010
1953,0.000000,0.000011
1954,0.000000,0.000019
1955,0.000000,0.000015
1956,0.000000,0.000016
1957,0.000000,0.000009
1958,0.000000,0.000017
1959,0.000000,0.000014
1960,0.000000,0.000024
1961,0.000000,0.000028
1962,0.000000,0.000038
1963,0.000000,0.000040
1964,0.000000,0.000039
1965,0.000000,0.000044
1966,0.000000,0.000043
1967,0.000000,0.000051
1968,0.000000,0.000056
1969,0.000000,0.000064
1970,0.000000,0.000058
1971,0.000000,0.000064
1972,0.000000,0.000055
1973,0.000000,0.000077
1974,0.000000,0.000088
1975,0.000000,0.000086
1976,0.000000,0.000105
1977,0.000002,0.000095
1978,0.000000,0.000115
1979,0.000000,0.000095
1980,0.000000,0.000102
1981,0.000000,0.000143
1982,0.000000,0.000137
1983,0.000000,0.000199
1984,0.000001,0.000147
1985,0.000000,0.000146
1986,0.000000,0.000151
1987,0.000002,0.000175
1988,0.000001,0.000147
1989,0.000000,0.000163
1990,0.000000,0.000218
1991,0.000001,0.000218
1992,0.000000,0.000278
1993,0.000002,0.000251
1994,0.000000,0.000302
1995,0.000000,0.000326
1996,0.000001,0.000448
1997,0.000002,0.000761
1998,0.000002,0.000868
1999,0.000004,0.000991
2000,0.000003,0.001240
2001,0.000003,0.001406
2002,0.000004,0.001861
2003,0.000005,0.002306
2004,0.000014,0.002255
2005,0.000004,0.002430
2006,0.000005,0.002651
2007,0.000007,0.002969
2008,0.000008,0.002993
2009,0.000003,0.002816
2010,0.000003,0.002606
2011,0.000005,0.002469
2012,0.000004,0.002263
