year,Gilmer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,0
1909,6
1910,9
1911,5
1912,17
1913,18
1914,12
1915,22
1916,36
1917,30
1918,44
1919,36
1920,33
1921,31
1922,35
1923,31
1924,34
1925,25
1926,23
1927,31
1928,20
1929,28
1930,25
1931,18
1932,20
1933,14
1934,24
1935,18
1936,18
1937,19
1938,23
1939,16
1940,12
1941,25
1942,24
1943,18
1944,14
1945,18
1946,28
1947,22
1948,12
1949,15
1950,9
1951,9
1952,10
1953,19
1954,12
1955,11
1956,12
1957,13
1958,11
1959,10
1960,7
1961,5
1962,0
1963,7
1964,5
1965,9
1966,0
1967,0
1968,5
1969,5
1970,6
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,5
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,6
2006,0
2007,5
2008,0
2009,5
2010,7
2011,0
2012,0
