year,Geoffery
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,5
1947,8
1948,7
1949,5
1950,9
1951,13
1952,11
1953,8
1954,11
1955,14
1956,15
1957,19
1958,21
1959,21
1960,21
1961,17
1962,23
1963,15
1964,27
1965,19
1966,19
1967,17
1968,32
1969,30
1970,30
1971,31
1972,37
1973,20
1974,32
1975,33
1976,33
1977,43
1978,33
1979,33
1980,28
1981,35
1982,46
1983,29
1984,23
1985,46
1986,33
1987,58
1988,54
1989,45
1990,59
1991,36
1992,33
1993,26
1994,31
1995,33
1996,20
1997,24
1998,21
1999,17
2000,13
2001,17
2002,8
2003,11
2004,10
2005,7
2006,0
2007,13
2008,0
2009,6
2010,5
2011,5
2012,0
