year,Gwenn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,9
1919,0
1920,7
1921,6
1922,0
1923,5
1924,0
1925,6
1926,6
1927,9
1928,13
1929,5
1930,10
1931,6
1932,8
1933,8
1934,13
1935,6
1936,12
1937,13
1938,17
1939,21
1940,12
1941,14
1942,19
1943,14
1944,16
1945,16
1946,28
1947,29
1948,25
1949,32
1950,41
1951,40
1952,41
1953,46
1954,55
1955,65
1956,56
1957,41
1958,47
1959,33
1960,43
1961,37
1962,29
1963,31
1964,44
1965,34
1966,23
1967,15
1968,16
1969,28
1970,25
1971,19
1972,9
1973,22
1974,11
1975,31
1976,19
1977,15
1978,14
1979,12
1980,18
1981,11
1982,8
1983,0
1984,8
1985,7
1986,0
1987,5
1988,6
1989,0
1990,0
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,10
2004,0
2005,8
2006,8
2007,0
2008,0
2009,14
2010,0
2011,7
2012,8
