year,Gustave (F),Gustave (M)
1880,0.000000,0.000243
1881,0.000000,0.000202
1882,0.000000,0.000257
1883,0.000000,0.000226
1884,0.000000,0.000238
1885,0.000000,0.000228
1886,0.000000,0.000149
1887,0.000000,0.000190
1888,0.000000,0.000174
1889,0.000000,0.000097
1890,0.000000,0.000123
1891,0.000000,0.000164
1892,0.000000,0.000170
1893,0.000000,0.000138
1894,0.000000,0.000130
1895,0.000000,0.000140
1896,0.000000,0.000109
1897,0.000000,0.000101
1898,0.000000,0.000107
1899,0.000000,0.000088
1900,0.000000,0.000067
1901,0.000000,0.000110
1902,0.000000,0.000085
1903,0.000000,0.000100
1904,0.000000,0.000104
1905,0.000000,0.000057
1906,0.000000,0.000040
1907,0.000000,0.000058
1908,0.000000,0.000059
1909,0.000000,0.000059
1910,0.000000,0.000056
1911,0.000000,0.000065
1912,0.000000,0.000087
1913,0.000000,0.000084
1914,0.000000,0.000085
1915,0.000000,0.000083
1916,0.000000,0.000068
1917,0.000000,0.000076
1918,0.000000,0.000068
1919,0.000000,0.000062
1920,0.000000,0.000064
1921,0.000000,0.000053
1922,0.000000,0.000050
1923,0.000000,0.000050
1924,0.000000,0.000040
1925,0.000000,0.000042
1926,0.000000,0.000041
1927,0.000000,0.000040
1928,0.000000,0.000042
1929,0.000000,0.000040
1930,0.000000,0.000032
1931,0.000000,0.000036
1932,0.000000,0.000029
1933,0.000000,0.000021
1934,0.000000,0.000023
1935,0.000000,0.000023
1936,0.000000,0.000022
1937,0.000000,0.000023
1938,0.000000,0.000018
1939,0.000000,0.000020
1940,0.000000,0.000020
1941,0.000000,0.000012
1942,0.000000,0.000013
1943,0.000000,0.000013
1944,0.000000,0.000009
1945,0.000000,0.000009
1946,0.000000,0.000013
1947,0.000000,0.000011
1948,0.000000,0.000011
1949,0.000000,0.000009
1950,0.000000,0.000011
1951,0.000000,0.000009
1952,0.000000,0.000008
1953,0.000000,0.000009
1954,0.000000,0.000007
1955,0.000000,0.000008
1956,0.000000,0.000007
1957,0.000000,0.000006
1958,0.000000,0.000008
1959,0.000000,0.000007
1960,0.000000,0.000006
1961,0.000000,0.000005
1962,0.000000,0.000006
1963,0.000000,0.000005
1964,0.000000,0.000004
1965,0.000000,0.000006
1966,0.000000,0.000008
1967,0.000000,0.000005
1968,0.000000,0.000004
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000005
1972,0.000000,0.000003
1973,0.000000,0.000004
1974,0.000000,0.000005
1975,0.000000,0.000007
1976,0.000000,0.000005
1977,0.000000,0.000007
1978,0.000000,0.000003
1979,0.000000,0.000005
1980,0.000000,0.000007
1981,0.000000,0.000003
1982,0.000000,0.000006
1983,0.000000,0.000003
1984,0.000000,0.000003
1985,0.000000,0.000006
1986,0.000000,0.000003
1987,0.000000,0.000003
1988,0.000000,0.000003
1989,0.000000,0.000003
1990,0.000000,0.000002
1991,0.000000,0.000005
1992,0.000000,0.000003
1993,0.000000,0.000004
1994,0.000000,0.000004
1995,0.000000,0.000002
1996,0.000000,0.000003
1997,0.000000,0.000005
1998,0.000000,0.000003
1999,0.000000,0.000002
2000,0.000000,0.000004
2001,0.000000,0.000002
2002,0.000000,0.000005
2003,0.000000,0.000003
2004,0.000000,0.000004
2005,0.000000,0.000002
2006,0.000000,0.000002
2007,0.000000,0.000002
2008,0.000000,0.000003
2009,0.000000,0.000004
2010,0.000000,0.000005
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000002
2014,0.000000,0.000004
2015,0.000000,0.000003
2016,0.000000,0.000002
2017,0.000000,0.000005
2018,0.000000,0.000004
2019,0.000000,0.000003
2020,0.000000,0.000004
