year,Gilda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,6
1899,0
1900,0
1901,0
1902,7
1903,6
1904,8
1905,0
1906,7
1907,17
1908,26
1909,23
1910,34
1911,42
1912,50
1913,78
1914,96
1915,101
1916,123
1917,135
1918,115
1919,125
1920,130
1921,154
1922,164
1923,148
1924,202
1925,200
1926,293
1927,321
1928,290
1929,259
1930,210
1931,178
1932,188
1933,123
1934,110
1935,112
1936,74
1937,81
1938,72
1939,75
1940,71
1941,50
1942,55
1943,39
1944,61
1945,68
1946,305
1947,346
1948,281
1949,244
1950,232
1951,265
1952,265
1953,240
1954,249
1955,193
1956,179
1957,171
1958,144
1959,140
1960,137
1961,122
1962,114
1963,109
1964,93
1965,85
1966,74
1967,67
1968,54
1969,57
1970,65
1971,60
1972,55
1973,47
1974,40
1975,52
1976,36
1977,32
1978,45
1979,29
1980,41
1981,26
1982,30
1983,30
1984,30
1985,25
1986,24
1987,22
1988,23
1989,14
1990,31
1991,28
1992,16
1993,19
1994,11
1995,23
1996,65
1997,28
1998,21
1999,20
2000,17
2001,14
2002,12
2003,5
2004,11
2005,15
2006,7
2007,6
2008,0
2009,5
2010,10
2011,0
2012,8
