year,Price
1880,8
1881,7
1882,12
1883,10
1884,7
1885,11
1886,12
1887,8
1888,16
1889,11
1890,12
1891,8
1892,10
1893,9
1894,11
1895,7
1896,20
1897,15
1898,6
1899,8
1900,13
1901,9
1902,5
1903,9
1904,8
1905,16
1906,5
1907,13
1908,16
1909,18
1910,14
1911,17
1912,20
1913,36
1914,48
1915,41
1916,39
1917,47
1918,52
1919,56
1920,50
1921,41
1922,39
1923,55
1924,32
1925,40
1926,31
1927,42
1928,25
1929,39
1930,37
1931,26
1932,36
1933,20
1934,26
1935,21
1936,34
1937,31
1938,23
1939,22
1940,30
1941,18
1942,22
1943,23
1944,24
1945,25
1946,23
1947,26
1948,21
1949,18
1950,27
1951,31
1952,20
1953,33
1954,26
1955,28
1956,14
1957,23
1958,12
1959,28
1960,15
1961,26
1962,50
1963,29
1964,34
1965,22
1966,19
1967,15
1968,18
1969,27
1970,26
1971,16
1972,23
1973,20
1974,23
1975,15
1976,9
1977,13
1978,16
1979,13
1980,17
1981,16
1982,20
1983,20
1984,17
1985,18
1986,27
1987,22
1988,15
1989,35
1990,27
1991,18
1992,31
1993,16
1994,27
1995,28
1996,27
1997,29
1998,26
1999,32
2000,29
2001,28
2002,27
2003,39
2004,44
2005,40
2006,64
2007,43
2008,43
2009,46
2010,46
2011,59
2012,54
