year,Prince (F),Prince (M)
1880,0.000000,0.000079
1881,0.000000,0.000088
1882,0.000000,0.000081
1883,0.000000,0.000083
1884,0.000000,0.000070
1885,0.000000,0.000087
1886,0.000000,0.000086
1887,0.000000,0.000073
1888,0.000000,0.000063
1889,0.000000,0.000048
1890,0.000000,0.000060
1891,0.000000,0.000091
1892,0.000000,0.000057
1893,0.000000,0.000043
1894,0.000000,0.000038
1895,0.000000,0.000051
1896,0.000000,0.000073
1897,0.000000,0.000055
1898,0.000000,0.000037
1899,0.000000,0.000044
1900,0.000000,0.000049
1901,0.000000,0.000084
1902,0.000000,0.000054
1903,0.000013,0.000060
1904,0.000000,0.000072
1905,0.000014,0.000057
1906,0.000000,0.000047
1907,0.000019,0.000037
1908,0.000000,0.000051
1909,0.000000,0.000059
1910,0.000014,0.000064
1911,0.000000,0.000048
1912,0.000011,0.000050
1913,0.000009,0.000044
1914,0.000007,0.000049
1915,0.000004,0.000044
1916,0.000003,0.000044
1917,0.000005,0.000043
1918,0.000006,0.000041
1919,0.000005,0.000038
1920,0.000005,0.000035
1921,0.000004,0.000035
1922,0.000006,0.000042
1923,0.000004,0.000029
1924,0.000004,0.000040
1925,0.000004,0.000032
1926,0.000005,0.000032
1927,0.000004,0.000030
1928,0.000006,0.000031
1929,0.000005,0.000029
1930,0.000004,0.000028
1931,0.000005,0.000024
1932,0.000006,0.000030
1933,0.000003,0.000025
1934,0.000006,0.000024
1935,0.000004,0.000028
1936,0.000003,0.000026
1937,0.000007,0.000029
1938,0.000005,0.000030
1939,0.000004,0.000025
1940,0.000003,0.000026
1941,0.000004,0.000021
1942,0.000004,0.000016
1943,0.000002,0.000022
1944,0.000002,0.000020
1945,0.000003,0.000020
1946,0.000003,0.000020
1947,0.000005,0.000019
1948,0.000003,0.000017
1949,0.000001,0.000022
1950,0.000001,0.000015
1951,0.000004,0.000017
1952,0.000004,0.000015
1953,0.000003,0.000018
1954,0.000003,0.000018
1955,0.000002,0.000019
1956,0.000002,0.000018
1957,0.000002,0.000020
1958,0.000002,0.000013
1959,0.000002,0.000015
1960,0.000002,0.000015
1961,0.000002,0.000013
1962,0.000000,0.000016
1963,0.000000,0.000016
1964,0.000002,0.000018
1965,0.000000,0.000013
1966,0.000000,0.000013
1967,0.000001,0.000013
1968,0.000000,0.000016
1969,0.000000,0.000013
1970,0.000000,0.000014
1971,0.000001,0.000015
1972,0.000000,0.000016
1973,0.000000,0.000021
1974,0.000000,0.000019
1975,0.000000,0.000013
1976,0.000000,0.000021
1977,0.000000,0.000019
1978,0.000000,0.000023
1979,0.000000,0.000028
1980,0.000000,0.000038
1981,0.000000,0.000042
1982,0.000000,0.000039
1983,0.000001,0.000048
1984,0.000000,0.000059
1985,0.000000,0.000055
1986,0.000001,0.000042
1987,0.000000,0.000034
1988,0.000000,0.000037
1989,0.000000,0.000035
1990,0.000000,0.000032
1991,0.000001,0.000035
1992,0.000000,0.000034
1993,0.000000,0.000031
1994,0.000000,0.000026
1995,0.000000,0.000029
1996,0.000000,0.000026
1997,0.000000,0.000034
1998,0.000000,0.000047
1999,0.000000,0.000041
2000,0.000000,0.000047
2001,0.000000,0.000044
2002,0.000000,0.000043
2003,0.000000,0.000053
2004,0.000000,0.000059
2005,0.000000,0.000060
2006,0.000000,0.000063
2007,0.000000,0.000068
2008,0.000000,0.000077
2009,0.000000,0.000092
2010,0.000000,0.000135
2011,0.000000,0.000150
2012,0.000000,0.000162
2013,0.000000,0.000174
