year,Payton (F),Payton (M)
1880,0.000000,0.000025
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000010
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000009
1912,0.000000,0.000009
1913,0.000000,0.000010
1914,0.000000,0.000006
1915,0.000000,0.000007
1916,0.000000,0.000006
1917,0.000000,0.000007
1918,0.000000,0.000010
1919,0.000000,0.000009
1920,0.000000,0.000008
1921,0.000000,0.000008
1922,0.000000,0.000006
1923,0.000000,0.000010
1924,0.000000,0.000007
1925,0.000000,0.000008
1926,0.000000,0.000006
1927,0.000000,0.000007
1928,0.000000,0.000009
1929,0.000000,0.000007
1930,0.000000,0.000005
1931,0.000000,0.000007
1932,0.000000,0.000005
1933,0.000000,0.000007
1934,0.000000,0.000005
1935,0.000000,0.000009
1936,0.000000,0.000005
1937,0.000000,0.000008
1938,0.000000,0.000004
1939,0.000000,0.000008
1940,0.000000,0.000006
1941,0.000000,0.000005
1942,0.000000,0.000004
1943,0.000000,0.000007
1944,0.000000,0.000005
1945,0.000000,0.000003
1946,0.000000,0.000007
1947,0.000000,0.000005
1948,0.000000,0.000005
1949,0.000000,0.000003
1950,0.000000,0.000002
1951,0.000000,0.000003
1952,0.000000,0.000003
1953,0.000000,0.000005
1954,0.000000,0.000002
1955,0.000000,0.000003
1956,0.000000,0.000004
1957,0.000000,0.000004
1958,0.000000,0.000003
1959,0.000000,0.000003
1960,0.000000,0.000002
1961,0.000000,0.000004
1962,0.000000,0.000003
1963,0.000000,0.000004
1964,0.000000,0.000004
1965,0.000000,0.000005
1966,0.000005,0.000003
1967,0.000004,0.000005
1968,0.000000,0.000005
1969,0.000000,0.000006
1970,0.000000,0.000006
1971,0.000000,0.000008
1972,0.000002,0.000006
1973,0.000000,0.000006
1974,0.000002,0.000004
1975,0.000002,0.000006
1976,0.000002,0.000006
1977,0.000003,0.000004
1978,0.000003,0.000010
1979,0.000002,0.000008
1980,0.000002,0.000009
1981,0.000002,0.000006
1982,0.000000,0.000006
1983,0.000002,0.000007
1984,0.000000,0.000012
1985,0.000004,0.000011
1986,0.000004,0.000025
1987,0.000006,0.000029
1988,0.000006,0.000029
1989,0.000004,0.000025
1990,0.000006,0.000033
1991,0.000012,0.000042
1992,0.000080,0.000068
1993,0.000139,0.000085
1994,0.000153,0.000108
1995,0.000174,0.000109
1996,0.000279,0.000158
1997,0.000368,0.000189
1998,0.000372,0.000249
1999,0.000377,0.000256
2000,0.000545,0.000419
2001,0.000530,0.000351
2002,0.000471,0.000341
2003,0.000426,0.000334
2004,0.000544,0.000366
2005,0.000569,0.000372
2006,0.000546,0.000327
2007,0.000571,0.000308
2008,0.000919,0.000316
2009,0.000956,0.000255
2010,0.000971,0.000241
2011,0.000862,0.000196
2012,0.000805,0.000162
