year,Pearlean
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,6
1909,9
1910,8
1911,9
1912,8
1913,6
1914,12
1915,11
1916,13
1917,16
1918,15
1919,25
1920,14
1921,18
1922,28
1923,25
1924,17
1925,25
1926,20
1927,27
1928,19
1929,18
1930,35
1931,26
1932,30
1933,22
1934,34
1935,34
1936,31
1937,27
1938,20
1939,37
1940,19
1941,15
1942,23
1943,23
1944,18
1945,18
1946,28
1947,22
1948,21
1949,30
1950,21
1951,26
1952,21
1953,8
1954,18
1955,19
1956,14
1957,16
1958,6
1959,6
1960,8
1961,10
1962,8
1963,7
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
