year,Pressley
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,6
1914,0
1915,10
1916,0
1917,0
1918,8
1919,6
1920,10
1921,8
1922,6
1923,8
1924,8
1925,7
1926,6
1927,8
1928,7
1929,9
1930,9
1931,7
1932,0
1933,0
1934,9
1935,6
1936,0
1937,0
1938,0
1939,6
1940,8
1941,5
1942,6
1943,0
1944,7
1945,7
1946,5
1947,10
1948,0
1949,5
1950,9
1951,0
1952,7
1953,0
1954,0
1955,9
1956,0
1957,6
1958,0
1959,5
1960,7
1961,0
1962,7
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,5
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,5
1992,0
1993,5
1994,7
1995,6
1996,8
1997,7
1998,7
1999,5
2000,14
2001,16
2002,12
2003,19
2004,17
2005,13
2006,22
2007,40
2008,22
2009,37
2010,35
2011,28
2012,37
