year,Prescilla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,7
1923,5
1924,6
1925,0
1926,0
1927,7
1928,0
1929,7
1930,5
1931,6
1932,0
1933,9
1934,0
1935,12
1936,0
1937,7
1938,16
1939,13
1940,16
1941,14
1942,15
1943,15
1944,10
1945,10
1946,9
1947,20
1948,15
1949,16
1950,14
1951,13
1952,10
1953,10
1954,14
1955,9
1956,11
1957,11
1958,10
1959,16
1960,10
1961,11
1962,12
1963,11
1964,12
1965,9
1966,0
1967,10
1968,12
1969,7
1970,13
1971,5
1972,13
1973,10
1974,7
1975,7
1976,0
1977,15
1978,15
1979,8
1980,14
1981,20
1982,20
1983,10
1984,19
1985,15
1986,18
1987,14
1988,18
1989,24
1990,19
1991,28
1992,25
1993,21
1994,15
1995,14
1996,16
1997,21
1998,14
1999,20
2000,9
2001,12
2002,18
2003,14
2004,10
2005,12
2006,11
2007,8
2008,7
2009,6
2010,7
2011,7
2012,0
