year,Peggy (F),Peggy (M)
1880,0.000065,0.000000
1881,0.000000,0.000000
1882,0.000027,0.000000
1883,0.000028,0.000000
1884,0.000037,0.000000
1885,0.000046,0.000000
1886,0.000059,0.000000
1887,0.000069,0.000000
1888,0.000047,0.000000
1889,0.000045,0.000000
1890,0.000076,0.000000
1891,0.000056,0.000000
1892,0.000075,0.000000
1893,0.000105,0.000000
1894,0.000097,0.000000
1895,0.000131,0.000000
1896,0.000126,0.000000
1897,0.000135,0.000000
1898,0.000152,0.000000
1899,0.000150,0.000000
1900,0.000171,0.000000
1901,0.000185,0.000000
1902,0.000212,0.000000
1903,0.000244,0.000000
1904,0.000275,0.000000
1905,0.000250,0.000000
1906,0.000327,0.000000
1907,0.000247,0.000000
1908,0.000307,0.000000
1909,0.000317,0.000000
1910,0.000345,0.000000
1911,0.000298,0.000000
1912,0.000254,0.000000
1913,0.000243,0.000000
1914,0.000263,0.000000
1915,0.000231,0.000000
1916,0.000286,0.000000
1917,0.000289,0.000000
1918,0.000339,0.000000
1919,0.000348,0.000000
1920,0.000387,0.000000
1921,0.000457,0.000000
1922,0.000570,0.000000
1923,0.000691,0.000000
1924,0.000871,0.000003
1925,0.000995,0.000003
1926,0.001142,0.000003
1927,0.001232,0.000004
1928,0.001495,0.000004
1929,0.001724,0.000007
1930,0.001837,0.000006
1931,0.002413,0.000010
1932,0.002579,0.000008
1933,0.002767,0.000014
1934,0.002902,0.000008
1935,0.002520,0.000013
1936,0.002921,0.000016
1937,0.002993,0.000013
1938,0.002866,0.000015
1939,0.002746,0.000013
1940,0.002661,0.000006
1941,0.002692,0.000012
1942,0.002408,0.000008
1943,0.002307,0.000009
1944,0.002238,0.000004
1945,0.002201,0.000004
1946,0.002315,0.000006
1947,0.002464,0.000006
1948,0.002633,0.000005
1949,0.002617,0.000004
1950,0.002435,0.000004
1951,0.002500,0.000004
1952,0.002367,0.000006
1953,0.002273,0.000004
1954,0.002124,0.000003
1955,0.001989,0.000003
1956,0.001818,0.000005
1957,0.001757,0.000005
1958,0.002436,0.000003
1959,0.001783,0.000004
1960,0.001548,0.000003
1961,0.001344,0.000004
1962,0.001214,0.000004
1963,0.001037,0.000003
1964,0.000989,0.000002
1965,0.000856,0.000003
1966,0.000762,0.000002
1967,0.000667,0.000004
1968,0.000625,0.000002
1969,0.000592,0.000003
1970,0.000527,0.000003
1971,0.000492,0.000003
1972,0.000427,0.000000
1973,0.000379,0.000000
1974,0.000310,0.000000
1975,0.000297,0.000000
1976,0.000250,0.000002
1977,0.000225,0.000002
1978,0.000193,0.000000
1979,0.000156,0.000000
1980,0.000142,0.000000
1981,0.000126,0.000000
1982,0.000105,0.000000
1983,0.000082,0.000000
1984,0.000094,0.000000
1985,0.000070,0.000000
1986,0.000072,0.000000
1987,0.000065,0.000000
1988,0.000061,0.000000
1989,0.000056,0.000000
1990,0.000046,0.000000
1991,0.000038,0.000000
1992,0.000032,0.000000
1993,0.000030,0.000000
1994,0.000026,0.000000
1995,0.000025,0.000000
1996,0.000018,0.000000
1997,0.000021,0.000000
1998,0.000015,0.000000
1999,0.000014,0.000000
2000,0.000015,0.000000
2001,0.000011,0.000000
2002,0.000009,0.000000
2003,0.000009,0.000000
2004,0.000005,0.000000
2005,0.000009,0.000000
2006,0.000008,0.000000
2007,0.000008,0.000000
2008,0.000007,0.000000
2009,0.000007,0.000000
2010,0.000005,0.000000
2011,0.000007,0.000000
2012,0.000007,0.000000
2013,0.000005,0.000000
2014,0.000006,0.000000
2015,0.000004,0.000000
2016,0.000005,0.000000
2017,0.000006,0.000000
2018,0.000007,0.000000
2019,0.000010,0.000000
2020,0.000006,0.000000
