year,Pamila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,10
1944,11
1945,6
1946,21
1947,20
1948,27
1949,14
1950,30
1951,26
1952,25
1953,31
1954,23
1955,32
1956,36
1957,37
1958,39
1959,36
1960,33
1961,28
1962,28
1963,27
1964,20
1965,27
1966,17
1967,20
1968,24
1969,13
1970,14
1971,12
1972,12
1973,15
1974,6
1975,0
1976,0
1977,8
1978,5
1979,0
1980,6
1981,0
1982,6
1983,0
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
