year,Paulita
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,0
1912,9
1913,8
1914,5
1915,9
1916,0
1917,0
1918,9
1919,6
1920,7
1921,7
1922,10
1923,16
1924,8
1925,12
1926,13
1927,26
1928,17
1929,15
1930,15
1931,23
1932,20
1933,10
1934,18
1935,18
1936,12
1937,11
1938,11
1939,13
1940,9
1941,11
1942,11
1943,17
1944,8
1945,9
1946,14
1947,8
1948,16
1949,11
1950,10
1951,14
1952,13
1953,13
1954,20
1955,15
1956,15
1957,10
1958,11
1959,15
1960,17
1961,15
1962,17
1963,16
1964,12
1965,12
1966,9
1967,5
1968,11
1969,16
1970,13
1971,24
1972,15
1973,13
1974,13
1975,24
1976,13
1977,18
1978,26
1979,7
1980,8
1981,11
1982,7
1983,7
1984,7
1985,6
1986,9
1987,6
1988,5
1989,5
1990,6
1991,8
1992,0
1993,0
1994,7
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
