year,Philicia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,6
1962,0
1963,6
1964,5
1965,7
1966,8
1967,0
1968,5
1969,10
1970,7
1971,0
1972,14
1973,8
1974,7
1975,6
1976,11
1977,12
1978,5
1979,7
1980,7
1981,8
1982,11
1983,12
1984,8
1985,8
1986,21
1987,19
1988,23
1989,32
1990,15
1991,34
1992,28
1993,24
1994,14
1995,19
1996,12
1997,10
1998,6
1999,12
2000,8
2001,0
2002,8
2003,5
2004,7
2005,5
2006,6
2007,6
2008,0
2009,0
2010,5
2011,0
2012,0
