year,Pearle
1880,20
1881,21
1882,28
1883,39
1884,44
1885,45
1886,55
1887,51
1888,57
1889,57
1890,47
1891,50
1892,45
1893,43
1894,54
1895,47
1896,51
1897,53
1898,65
1899,40
1900,56
1901,41
1902,50
1903,43
1904,44
1905,41
1906,43
1907,31
1908,53
1909,47
1910,43
1911,42
1912,59
1913,53
1914,65
1915,92
1916,78
1917,90
1918,90
1919,103
1920,76
1921,86
1922,74
1923,58
1924,63
1925,46
1926,43
1927,35
1928,20
1929,22
1930,22
1931,12
1932,15
1933,10
1934,8
1935,0
1936,8
1937,14
1938,7
1939,7
1940,7
1941,7
1942,10
1943,10
1944,5
1945,8
1946,8
1947,5
1948,0
1949,0
1950,6
1951,0
1952,5
1953,5
1954,7
1955,0
1956,0
1957,0
1958,0
1959,7
1960,0
1961,0
1962,0
1963,0
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
