year,Prentiss
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,5
1900,5
1901,5
1902,5
1903,0
1904,5
1905,6
1906,7
1907,9
1908,5
1909,0
1910,10
1911,6
1912,14
1913,11
1914,25
1915,27
1916,24
1917,15
1918,23
1919,25
1920,28
1921,18
1922,28
1923,24
1924,27
1925,23
1926,31
1927,24
1928,23
1929,28
1930,36
1931,20
1932,31
1933,27
1934,30
1935,14
1936,26
1937,22
1938,23
1939,26
1940,27
1941,30
1942,38
1943,47
1944,26
1945,18
1946,30
1947,35
1948,34
1949,43
1950,40
1951,50
1952,44
1953,19
1954,28
1955,33
1956,39
1957,33
1958,32
1959,33
1960,27
1961,30
1962,23
1963,39
1964,40
1965,37
1966,37
1967,32
1968,26
1969,31
1970,40
1971,34
1972,35
1973,21
1974,21
1975,40
1976,21
1977,25
1978,39
1979,33
1980,39
1981,32
1982,37
1983,28
1984,22
1985,31
1986,23
1987,30
1988,30
1989,23
1990,27
1991,21
1992,21
1993,22
1994,12
1995,13
1996,12
1997,17
1998,19
1999,15
2000,14
2001,7
2002,8
2003,12
2004,13
2005,13
2006,10
2007,13
2008,10
2009,16
2010,12
2011,8
2012,19
