year,Pink
1880,30
1881,35
1882,28
1883,17
1884,20
1885,25
1886,27
1887,17
1888,17
1889,18
1890,15
1891,19
1892,14
1893,13
1894,16
1895,15
1896,13
1897,19
1898,19
1899,11
1900,22
1901,12
1902,13
1903,11
1904,16
1905,9
1906,12
1907,11
1908,7
1909,11
1910,11
1911,12
1912,10
1913,10
1914,23
1915,21
1916,24
1917,17
1918,21
1919,31
1920,17
1921,16
1922,24
1923,16
1924,20
1925,18
1926,26
1927,17
1928,28
1929,19
1930,9
1931,13
1932,12
1933,10
1934,9
1935,9
1936,11
1937,7
1938,10
1939,8
1940,6
1941,8
1942,9
1943,10
1944,0
1945,5
1946,7
1947,7
1948,9
1949,8
1950,8
1951,6
1952,5
1953,6
1954,5
1955,5
1956,12
1957,5
1958,0
1959,0
1960,0
1961,5
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,5
