year,Paulene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,6
1909,5
1910,5
1911,11
1912,9
1913,17
1914,15
1915,18
1916,23
1917,27
1918,31
1919,21
1920,40
1921,39
1922,32
1923,32
1924,31
1925,29
1926,27
1927,24
1928,22
1929,32
1930,23
1931,27
1932,27
1933,25
1934,24
1935,28
1936,13
1937,19
1938,24
1939,23
1940,16
1941,28
1942,20
1943,30
1944,36
1945,12
1946,21
1947,30
1948,20
1949,18
1950,20
1951,21
1952,20
1953,19
1954,13
1955,21
1956,11
1957,21
1958,11
1959,20
1960,27
1961,22
1962,13
1963,13
1964,14
1965,10
1966,12
1967,16
1968,18
1969,9
1970,6
1971,15
1972,5
1973,11
1974,9
1975,11
1976,8
1977,7
1978,0
1979,9
1980,0
1981,8
1982,0
1983,8
1984,0
1985,0
1986,0
1987,0
1988,7
1989,0
1990,5
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,6
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
