year,Priscillia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,6
1925,0
1926,0
1927,0
1928,5
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,8
1942,7
1943,8
1944,12
1945,6
1946,13
1947,13
1948,5
1949,10
1950,0
1951,0
1952,10
1953,8
1954,8
1955,6
1956,11
1957,14
1958,9
1959,7
1960,8
1961,5
1962,13
1963,12
1964,10
1965,7
1966,0
1967,7
1968,10
1969,10
1970,0
1971,10
1972,6
1973,10
1974,6
1975,8
1976,0
1977,11
1978,10
1979,10
1980,8
1981,7
1982,8
1983,5
1984,0
1985,10
1986,14
1987,8
1988,8
1989,12
1990,7
1991,9
1992,6
1993,0
1994,7
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
