year,Pandora
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,5
1913,0
1914,0
1915,0
1916,0
1917,0
1918,6
1919,0
1920,0
1921,9
1922,7
1923,0
1924,8
1925,9
1926,7
1927,13
1928,13
1929,6
1930,5
1931,10
1932,10
1933,8
1934,0
1935,6
1936,5
1937,0
1938,8
1939,6
1940,5
1941,0
1942,5
1943,8
1944,0
1945,19
1946,13
1947,11
1948,9
1949,13
1950,14
1951,11
1952,132
1953,92
1954,77
1955,79
1956,85
1957,67
1958,53
1959,49
1960,92
1961,80
1962,71
1963,68
1964,88
1965,78
1966,51
1967,48
1968,48
1969,36
1970,56
1971,37
1972,28
1973,36
1974,25
1975,27
1976,18
1977,18
1978,22
1979,18
1980,9
1981,6
1982,9
1983,13
1984,7
1985,6
1986,6
1987,7
1988,16
1989,8
1990,20
1991,5
1992,9
1993,16
1994,10
1995,14
1996,22
1997,15
1998,31
1999,31
2000,37
2001,25
2002,31
2003,28
2004,29
2005,30
2006,36
2007,28
2008,39
2009,32
2010,53
2011,52
2012,56
