year,Parker (F),Parker (M)
1880,0.000000,0.000069
1881,0.000000,0.000062
1882,0.000000,0.000063
1883,0.000000,0.000037
1884,0.000000,0.000037
1885,0.000000,0.000025
1886,0.000000,0.000043
1887,0.000000,0.000057
1888,0.000000,0.000037
1889,0.000000,0.000045
1890,0.000000,0.000040
1891,0.000000,0.000052
1892,0.000000,0.000030
1893,0.000000,0.000040
1894,0.000000,0.000059
1895,0.000000,0.000043
1896,0.000000,0.000045
1897,0.000000,0.000029
1898,0.000000,0.000037
1899,0.000000,0.000027
1900,0.000000,0.000038
1901,0.000000,0.000026
1902,0.000000,0.000021
1903,0.000000,0.000042
1904,0.000000,0.000062
1905,0.000000,0.000033
1906,0.000000,0.000037
1907,0.000000,0.000017
1908,0.000000,0.000027
1909,0.000000,0.000033
1910,0.000000,0.000025
1911,0.000000,0.000023
1912,0.000000,0.000034
1913,0.000000,0.000046
1914,0.000000,0.000039
1915,0.000000,0.000039
1916,0.000000,0.000032
1917,0.000000,0.000033
1918,0.000000,0.000038
1919,0.000000,0.000044
1920,0.000000,0.000028
1921,0.000000,0.000028
1922,0.000000,0.000033
1923,0.000000,0.000031
1924,0.000000,0.000033
1925,0.000000,0.000033
1926,0.000000,0.000027
1927,0.000000,0.000033
1928,0.000000,0.000033
1929,0.000000,0.000039
1930,0.000000,0.000022
1931,0.000000,0.000027
1932,0.000000,0.000032
1933,0.000000,0.000030
1934,0.000000,0.000028
1935,0.000000,0.000025
1936,0.000000,0.000025
1937,0.000000,0.000022
1938,0.000000,0.000025
1939,0.000000,0.000028
1940,0.000000,0.000028
1941,0.000000,0.000022
1942,0.000000,0.000018
1943,0.000000,0.000022
1944,0.000000,0.000016
1945,0.000000,0.000020
1946,0.000000,0.000018
1947,0.000000,0.000021
1948,0.000000,0.000020
1949,0.000000,0.000015
1950,0.000000,0.000017
1951,0.000000,0.000017
1952,0.000000,0.000016
1953,0.000000,0.000015
1954,0.000000,0.000015
1955,0.000000,0.000013
1956,0.000000,0.000013
1957,0.000000,0.000016
1958,0.000000,0.000010
1959,0.000000,0.000013
1960,0.000000,0.000013
1961,0.000000,0.000013
1962,0.000000,0.000014
1963,0.000000,0.000014
1964,0.000000,0.000013
1965,0.000000,0.000017
1966,0.000000,0.000011
1967,0.000000,0.000011
1968,0.000000,0.000019
1969,0.000000,0.000016
1970,0.000002,0.000016
1971,0.000000,0.000020
1972,0.000000,0.000015
1973,0.000000,0.000011
1974,0.000000,0.000009
1975,0.000000,0.000014
1976,0.000000,0.000016
1977,0.000002,0.000021
1978,0.000000,0.000034
1979,0.000000,0.000039
1980,0.000000,0.000038
1981,0.000003,0.000040
1982,0.000002,0.000043
1983,0.000002,0.000060
1984,0.000003,0.000070
1985,0.000004,0.000087
1986,0.000004,0.000095
1987,0.000004,0.000092
1988,0.000003,0.000113
1989,0.000004,0.000137
1990,0.000005,0.000183
1991,0.000009,0.000227
1992,0.000014,0.000291
1993,0.000014,0.000307
1994,0.000014,0.000336
1995,0.000020,0.000374
1996,0.000027,0.000493
1997,0.000036,0.000634
1998,0.000049,0.000715
1999,0.000067,0.000816
2000,0.000067,0.000821
2001,0.000084,0.000852
2002,0.000084,0.000829
2003,0.000082,0.000838
2004,0.000108,0.000802
2005,0.000100,0.000886
2006,0.000115,0.000928
2007,0.000127,0.001020
2008,0.000157,0.001100
2009,0.000157,0.001213
2010,0.000177,0.001283
2011,0.000239,0.001447
2012,0.000281,0.001469
2013,0.000331,0.001558
