year,Park
1880,9
1881,9
1882,7
1883,0
1884,0
1885,8
1886,0
1887,5
1888,8
1889,9
1890,9
1891,9
1892,8
1893,9
1894,8
1895,7
1896,13
1897,6
1898,5
1899,5
1900,8
1901,5
1902,5
1903,5
1904,9
1905,0
1906,11
1907,11
1908,5
1909,0
1910,8
1911,8
1912,28
1913,23
1914,22
1915,26
1916,18
1917,30
1918,32
1919,24
1920,19
1921,25
1922,29
1923,33
1924,16
1925,19
1926,20
1927,23
1928,16
1929,21
1930,17
1931,13
1932,18
1933,21
1934,18
1935,8
1936,18
1937,11
1938,22
1939,12
1940,14
1941,14
1942,25
1943,14
1944,14
1945,16
1946,14
1947,21
1948,18
1949,10
1950,13
1951,22
1952,18
1953,9
1954,11
1955,19
1956,16
1957,15
1958,16
1959,8
1960,14
1961,17
1962,14
1963,20
1964,16
1965,7
1966,5
1967,9
1968,7
1969,14
1970,11
1971,7
1972,5
1973,6
1974,5
1975,8
1976,5
1977,0
1978,0
1979,8
1980,5
1981,5
1982,0
1983,12
1984,0
1985,0
1986,5
1987,0
1988,10
1989,7
1990,5
1991,8
1992,6
1993,7
1994,9
1995,5
1996,7
1997,9
1998,7
1999,11
2000,9
2001,14
2002,6
2003,8
2004,8
2005,6
2006,5
2007,0
2008,8
2009,18
2010,8
2011,7
2012,10
