year,Pablo (F),Pablo (M)
1880,0.000000,0.000055
1881,0.000000,0.000000
1882,0.000000,0.000036
1883,0.000000,0.000046
1884,0.000000,0.000037
1885,0.000000,0.000066
1886,0.000000,0.000027
1887,0.000000,0.000049
1888,0.000000,0.000037
1889,0.000000,0.000038
1890,0.000000,0.000060
1891,0.000000,0.000035
1892,0.000000,0.000030
1893,0.000000,0.000018
1894,0.000000,0.000030
1895,0.000000,0.000046
1896,0.000000,0.000031
1897,0.000000,0.000058
1898,0.000000,0.000018
1899,0.000000,0.000038
1900,0.000000,0.000049
1901,0.000000,0.000055
1902,0.000000,0.000054
1903,0.000000,0.000045
1904,0.000000,0.000055
1905,0.000000,0.000028
1906,0.000000,0.000065
1907,0.000000,0.000034
1908,0.000000,0.000047
1909,0.000000,0.000067
1910,0.000000,0.000049
1911,0.000000,0.000048
1912,0.000000,0.000032
1913,0.000000,0.000031
1914,0.000000,0.000037
1915,0.000000,0.000034
1916,0.000000,0.000035
1917,0.000000,0.000042
1918,0.000000,0.000045
1919,0.000000,0.000044
1920,0.000000,0.000059
1921,0.000000,0.000056
1922,0.000000,0.000061
1923,0.000000,0.000080
1924,0.000000,0.000067
1925,0.000000,0.000071
1926,0.000000,0.000087
1927,0.000000,0.000070
1928,0.000000,0.000077
1929,0.000000,0.000084
1930,0.000000,0.000093
1931,0.000000,0.000074
1932,0.000002,0.000084
1933,0.000000,0.000073
1934,0.000000,0.000068
1935,0.000003,0.000065
1936,0.000000,0.000055
1937,0.000000,0.000063
1938,0.000000,0.000048
1939,0.000000,0.000044
1940,0.000000,0.000048
1941,0.000000,0.000048
1942,0.000000,0.000044
1943,0.000000,0.000048
1944,0.000000,0.000054
1945,0.000000,0.000048
1946,0.000000,0.000053
1947,0.000000,0.000042
1948,0.000000,0.000051
1949,0.000000,0.000048
1950,0.000000,0.000056
1951,0.000000,0.000050
1952,0.000000,0.000045
1953,0.000000,0.000050
1954,0.000000,0.000047
1955,0.000000,0.000044
1956,0.000000,0.000047
1957,0.000000,0.000051
1958,0.000000,0.000051
1959,0.000000,0.000056
1960,0.000000,0.000056
1961,0.000000,0.000061
1962,0.000000,0.000069
1963,0.000000,0.000063
1964,0.000000,0.000067
1965,0.000000,0.000065
1966,0.000000,0.000079
1967,0.000000,0.000079
1968,0.000000,0.000091
1969,0.000000,0.000095
1970,0.000000,0.000105
1971,0.000000,0.000103
1972,0.000000,0.000112
1973,0.000000,0.000121
1974,0.000000,0.000135
1975,0.000000,0.000136
1976,0.000000,0.000147
1977,0.000000,0.000133
1978,0.000000,0.000135
1979,0.000000,0.000134
1980,0.000000,0.000143
1981,0.000000,0.000155
1982,0.000000,0.000143
1983,0.000001,0.000138
1984,0.000000,0.000139
1985,0.000003,0.000129
1986,0.000000,0.000147
1987,0.000000,0.000143
1988,0.000000,0.000135
1989,0.000002,0.000163
1990,0.000002,0.000171
1991,0.000002,0.000182
1992,0.000000,0.000199
1993,0.000000,0.000199
1994,0.000003,0.000206
1995,0.000000,0.000219
1996,0.000002,0.000218
1997,0.000000,0.000245
1998,0.000000,0.000245
1999,0.000000,0.000254
2000,0.000001,0.000267
2001,0.000000,0.000277
2002,0.000000,0.000271
2003,0.000000,0.000269
2004,0.000000,0.000274
2005,0.000000,0.000304
2006,0.000000,0.000297
2007,0.000000,0.000274
2008,0.000000,0.000256
2009,0.000000,0.000239
2010,0.000000,0.000225
2011,0.000000,0.000230
2012,0.000000,0.000227
