year,Pollie
1880,5
1881,5
1882,5
1883,8
1884,12
1885,13
1886,9
1887,10
1888,13
1889,6
1890,15
1891,16
1892,6
1893,16
1894,16
1895,16
1896,12
1897,23
1898,19
1899,13
1900,19
1901,21
1902,12
1903,19
1904,20
1905,18
1906,15
1907,24
1908,14
1909,8
1910,18
1911,17
1912,18
1913,14
1914,22
1915,22
1916,29
1917,24
1918,13
1919,21
1920,33
1921,17
1922,23
1923,21
1924,24
1925,19
1926,28
1927,21
1928,24
1929,19
1930,12
1931,12
1932,25
1933,21
1934,9
1935,13
1936,18
1937,16
1938,12
1939,18
1940,17
1941,20
1942,10
1943,14
1944,15
1945,10
1946,13
1947,10
1948,8
1949,12
1950,10
1951,13
1952,15
1953,10
1954,6
1955,5
1956,12
1957,0
1958,8
1959,7
1960,5
1961,9
1962,5
1963,6
1964,0
1965,7
1966,0
1967,0
1968,0
1969,0
1970,0
1971,6
1972,5
1973,5
1974,0
1975,0
1976,0
1977,0
1978,0
1979,6
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
