year,Presley (F),Presley (M)
1880,0.000000,0.000025
1881,0.000000,0.000036
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000020
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000024
1892,0.000000,0.000000
1893,0.000000,0.000018
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000024
1904,0.000000,0.000000
1905,0.000000,0.000017
1906,0.000000,0.000012
1907,0.000000,0.000011
1908,0.000000,0.000016
1909,0.000000,0.000000
1910,0.000000,0.000015
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000005
1914,0.000000,0.000008
1915,0.000000,0.000014
1916,0.000000,0.000008
1917,0.000000,0.000011
1918,0.000000,0.000010
1919,0.000000,0.000014
1920,0.000000,0.000007
1921,0.000000,0.000011
1922,0.000000,0.000010
1923,0.000000,0.000010
1924,0.000000,0.000008
1925,0.000000,0.000008
1926,0.000000,0.000007
1927,0.000000,0.000005
1928,0.000000,0.000011
1929,0.000000,0.000009
1930,0.000000,0.000010
1931,0.000000,0.000006
1932,0.000000,0.000007
1933,0.000000,0.000009
1934,0.000000,0.000010
1935,0.000000,0.000008
1936,0.000000,0.000008
1937,0.000000,0.000010
1938,0.000000,0.000008
1939,0.000000,0.000004
1940,0.000000,0.000011
1941,0.000000,0.000007
1942,0.000000,0.000008
1943,0.000000,0.000006
1944,0.000000,0.000005
1945,0.000000,0.000005
1946,0.000000,0.000008
1947,0.000000,0.000007
1948,0.000000,0.000005
1949,0.000000,0.000004
1950,0.000000,0.000008
1951,0.000000,0.000006
1952,0.000000,0.000005
1953,0.000000,0.000005
1954,0.000000,0.000005
1955,0.000000,0.000004
1956,0.000000,0.000006
1957,0.000000,0.000007
1958,0.000000,0.000002
1959,0.000000,0.000004
1960,0.000000,0.000003
1961,0.000000,0.000003
1962,0.000000,0.000004
1963,0.000000,0.000003
1964,0.000000,0.000003
1965,0.000000,0.000003
1966,0.000000,0.000002
1967,0.000000,0.000004
1968,0.000000,0.000003
1969,0.000000,0.000003
1970,0.000000,0.000004
1971,0.000000,0.000004
1972,0.000000,0.000004
1973,0.000000,0.000004
1974,0.000000,0.000003
1975,0.000000,0.000004
1976,0.000000,0.000005
1977,0.000002,0.000007
1978,0.000000,0.000006
1979,0.000000,0.000005
1980,0.000000,0.000005
1981,0.000001,0.000003
1982,0.000000,0.000003
1983,0.000000,0.000003
1984,0.000000,0.000004
1985,0.000002,0.000004
1986,0.000002,0.000005
1987,0.000000,0.000003
1988,0.000003,0.000005
1989,0.000005,0.000006
1990,0.000015,0.000004
1991,0.000023,0.000007
1992,0.000035,0.000010
1993,0.000041,0.000008
1994,0.000040,0.000011
1995,0.000042,0.000010
1996,0.000044,0.000009
1997,0.000048,0.000009
1998,0.000055,0.000011
1999,0.000059,0.000014
2000,0.000077,0.000028
2001,0.000078,0.000030
2002,0.000097,0.000035
2003,0.000106,0.000033
2004,0.000133,0.000033
2005,0.000151,0.000027
2006,0.000237,0.000030
2007,0.000243,0.000034
2008,0.000252,0.000034
2009,0.000316,0.000042
2010,0.000326,0.000038
2011,0.000381,0.000034
2012,0.000420,0.000037
2013,0.000447,0.000037
2014,0.000471,0.000039
2015,0.000467,0.000036
2016,0.000438,0.000033
2017,0.000429,0.000040
2018,0.000426,0.000034
2019,0.000425,0.000039
2020,0.000408,0.000031
